"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072594","establishment of protein localization to organelle","94/2107","447/23040",0.210290827740492,2.29952571008113,8.80237831308751,1.08926526993686e-14,6.47677129504458e-11,5.39243638369796e-11,"Aip/Akap1/Pex12/Appl1/Appl2/Get3/Atf2/Atg14/Atp5if1/Bax/Bcl3/Bmp4/Cabp1/Cbl/Cd68/Cdk1/Cdkn2a/Ddx5/Cox18/Dmap1/Dnajc19/Dnlz/E2f3/Ei24/Gsk3a/Macroh2a2/Hikeshi/H1f5/Hk2/Hsp90aa1/Hsp90ab1/Hspa4/Ipo13/Ipo8/Kpna2/Kpnb1/Lrp2/Macf1/Med1/Mterf4/Nabp2/Notch1/Nup107/Nup133/Nup153/Nup54/Nup98/Nup58/Pam16/Parl/Pex2/Pex5/Phip/Pml/Pola2/Pom121/Ptpn23/Rab11a/Rala/Ranbp6/Rangrf/Lrsam1/Sec61a1/Sirt4/Sirt6/Ubl4a/Smurf1/Spcs2/Spcs3/Spg11/Sqstm1/Srp14/Srp68/Srprb/Ssr3/Sumo1/Tardbp/Timm17a/Timm21/Timm44/Timm50/Timm9/Tnpo1/Tnpo3/Tomm20/Tomm34/Tomm7/Wrap53/Tsg101/Ubr5/Vps37b/Ywhaz/Zfand2a/Zfyve16",94
"GO:0034470","ncRNA processing","88/2107","411/23040",0.214111922141119,2.34130929574342,8.70493449918943,2.60216134750713e-14,7.73622568613869e-11,6.44103411438211e-11,"Ago2/Ago3/Nsun6/Bcdin3d/Bmp4/Bms1/Bud23/Cdk5rap1/Cdkn2a/Ddx5/Exd1/Ddx1/Ddx21/Ddx56/Dgcr8/Dicer1/Dus1l/Eif6/Eri1/Exosc3/Slx9/Grsf1/Gtpbp4/Hnf1a/Hnrnpa2b1/Ints1/Ints2/Ints6/Ints8/Lsm6/Mak16/Ybey/Mettl3/Larp7/Mphosph6/Mrm1/Mterf4/Nat10/Wdr4/Nol11/Tbl3/Npm1/Nsun3/Nvl/Pa2g4/Pld6/Pnldc1/Pop4/Pop7/Rbm34/Rpf1/Rpl35/Rpl7/Rpl7l1/Rpp21/Rpp25l/Rpp38/Rpp40/Rps17/Rps27/Rps27rt/Rps6/Rps7/Rrp1/Rrp7a/Sars1/Sart1/Trmt13/Bop1/Snu13/Srrt/Suv39h1/Tfb1m/Thada/Thumpd1/Trim71/Trmo/Trmt11/Trmt44/Tsr2/Utp20/Wbp11/Wdr6/Ythdf2/Zc3h10/Zc3h7a/Tut7/Zcchc8",88
"GO:0006913","nucleocytoplasmic transport","78/2107","356/23040",0.219101123595506,2.39586610709086,8.42087625537033,2.18840955331053e-13,3.25307080099611e-10,2.70844477084722e-10,"Ahctf1/Ahcyl1/Akap1/Akap8l/Appl1/Appl2/Atf2/Bard1/Bcl3/Bmp4/Cabp1/Camk1/Cdan1/Cdk1/Cdk5/Cdkn2a/Ddx5/Chtop/Cpsf6/Ddx19a/Ddx19b/Dhx9/Dmap1/Dusp16/E2f3/Ei24/Eif4a3/Eif6/Hikeshi/Hnrnpa2b1/Hsp90aa1/Hsp90ab1/Hspa9/Ipo13/Ipo8/Khdrbs1/Kpna2/Kpnb1/Mdm2/Med1/Notch1/Npm1/Nrde2/Nup107/Nup133/Nup153/Nup210/Nup54/Nup98/Nup58/Peg12/Phip/Pml/Pola2/Pom121/Ptpn11/Ranbp17/Ranbp6/Rangap1/Rangrf/Sem1/Sfn/Sirt6/Smurf1/Spg11/Sqstm1/Strada/Sumo1/Tardbp/Thoc2/Tnpo1/Tnpo3/Txn1/Ubr5/Xpo4/Xpo6/Xpo7/Xpot",78
"GO:0051169","nuclear transport","78/2107","356/23040",0.219101123595506,2.39586610709086,8.42087625537033,2.18840955331053e-13,3.25307080099611e-10,2.70844477084722e-10,"Ahctf1/Ahcyl1/Akap1/Akap8l/Appl1/Appl2/Atf2/Bard1/Bcl3/Bmp4/Cabp1/Camk1/Cdan1/Cdk1/Cdk5/Cdkn2a/Ddx5/Chtop/Cpsf6/Ddx19a/Ddx19b/Dhx9/Dmap1/Dusp16/E2f3/Ei24/Eif4a3/Eif6/Hikeshi/Hnrnpa2b1/Hsp90aa1/Hsp90ab1/Hspa9/Ipo13/Ipo8/Khdrbs1/Kpna2/Kpnb1/Mdm2/Med1/Notch1/Npm1/Nrde2/Nup107/Nup133/Nup153/Nup210/Nup54/Nup98/Nup58/Peg12/Phip/Pml/Pola2/Pom121/Ptpn11/Ranbp17/Ranbp6/Rangap1/Rangrf/Sem1/Sfn/Sirt6/Smurf1/Spg11/Sqstm1/Strada/Sumo1/Tardbp/Thoc2/Tnpo1/Tnpo3/Txn1/Ubr5/Xpo4/Xpo6/Xpo7/Xpot",78
"GO:0008380","RNA splicing","90/2107","450/23040",0.2,2.18699572852397,8.06762384659931,8.32623132766994e-13,9.90155429486509e-10,8.24384545979615e-10,"Acin1/Esrp2/Rbm6/C1qbp/Cenatac/Cd2bp2/Cdk13/Ddx5/Clk1/Clk3/Cwc22/Cwc25/Dcps/Ddx1/Dhx9/Eif4a3/Fastk/Gemin7/Dnajc17/Grsf1/Hnrnpa2b1/Hnrnph3/Hnrnpm/Hnrnpu/Hnrnpul1/Sart3/Isy1/Khdrbs1/Lsm6/Luc7l3/Malat1/Mbnl3/Mettl14/Mettl3/Mfap1b/Larp7/Npm1/Nrde2/Nup98/Pabpc1/Paxbp1/Polr2a/Ppil1/Ppp1r8/Prdx6/Prkrip1/Prmt5/Prpf18/Prpf38b/Prpf3/Prpf40a/Ptbp2/Puf60/Qki/Rbm14/Rbm47/Rbm48/Rnpc3/Rps13/Sart1/Scaf11/Scaf1/Sf3b1/Sf3b2/Slc38a2/Smndc1/Snrnp70/Snrpb/Snu13/Snw1/Srpk1/Srrm1/Srrm4/Srsf2/Srsf7/Syncrip/Taf10/Taf6l/Tardbp/Thoc2/Atxn7/Thrap3/Tra2b/Ttf2/U2af1/Wbp11/Ybx1/Zc3h10/Zcchc8/Zrsr2",90
"GO:1903311","regulation of mRNA metabolic process","68/2107","307/23040",0.221498371335505,2.42207995992882,7.9581692561269,4.46265031746463e-12,4.42248646460745e-09,3.68207797246248e-09,"Acin1/Myd88/Adarb1/Ago2/Ahcyl1/Brf1/Btg2/C1qbp/Carhsp1/Ccnb1/Cdc73/Ddx5/Cnot1/Cnot2/Cnot6/Dcps/Dhx36/Dhx9/Dicer1/Dnd1/Eif4a3/Exosc3/Tent5c/Fastk/Hnrnpa0/Hnrnpa2b1/Hnrnpab/Hnrnpd/Hnrnpu/Igf2bp1/Khdrbs1/Malat1/Mettl14/Mettl3/Larp7/Nanos3/Npm1/Nrde2/Nup98/Pabpc1/Patl2/Pnldc1/Prdx6/Prmt5/Puf60/Qki/Rbm47/Rc3h2/Senp1/Snrnp70/Snw1/Srpk1/Srrm1/Srrm4/Srsf2/Srsf7/Syncrip/Tardbp/Tbrg4/Thrap3/Tra2b/Trim71/Vegfa/Ybx1/Ythdf1/Ythdf2/Tut7/Zfp36",68
"GO:0022613","ribonucleoprotein complex biogenesis","86/2107","437/23040",0.196796338672769,2.15196376033251,7.71338193271348,6.63706981609997e-12,5.63771673236149e-09,4.69385554061927e-09,"Rbis/Ago2/Ago3/Bms1/Bud23/C1qbp/Cdc73/Cdkn2a/Cpsf6/Ddx21/Ddx28/Ddx56/Dhx30/Dhx9/Dicer1/Eif2s2/Eif3a/Eif3d/Eif6/Eri1/Exosc3/Slx9/Gemin7/Gnl3l/Grwd1/Gtpbp10/Gtpbp4/Hsp90aa1/Sart3/Isy1/Lsm6/Luc7l3/Mak16/Ybey/Mphosph6/Mrm1/Mterf4/Nat10/Nol11/Tbl3/Npm1/Nsun3/Nvl/Pa2g4/Pop4/Pop7/Prmt5/Prpf18/Prpf3/Ptbp2/Puf60/Rbm34/Rpf1/Rpl10l/Rpl13a/Rpl35/Rpl7/Rpl7l1/Rpp38/Rpp40/Rps11/Rps12/Rps13/Rps15a/Rps17/Rps19bp1/Rps27/Rps27rt/Rps6/Rps7/Rrp1/Rrp7a/Sart1/Scaf11/Bop1/Sf3b1/Rpl23a/Snrpb/Snu13/Srpk1/Suv39h1/Tfb1m/Tsr2/Utp20/Wbp11/Ythdf2",86
"GO:0006397","mRNA processing","94/2107","498/23040",0.188755020080321,2.06403211326559,7.61590516712365,8.28484330843546e-12,6.15770978899466e-09,5.12679185257526e-09,"Acin1/Esrp2/Rbm6/Adarb1/Ahcyl1/Akap8l/C1qbp/Cenatac/Ccnb1/Cd2bp2/Cdc73/Cdk13/Ddx5/Cpsf6/Cwc22/Cwc25/Dcps/Ddx1/Dhx36/Dhx9/Eif4a3/Gemin7/Dnajc17/Grsf1/Hnrnpa2b1/Hnrnpm/Hnrnpu/Hnrnpul1/Sart3/Isy1/Khdrbs1/Lsm6/Luc7l3/Malat1/Mbnl3/Mettl14/Mettl3/Mfap1b/Larp7/Npm1/Nrde2/Nup98/Pabpc1/Tent2/Paxbp1/Ppil1/Ppp1r8/Prdx6/Prkrip1/Prmt5/Prpf18/Prpf38b/Prpf3/Prpf40a/Ptbp2/Puf60/Qki/Rbm14/Rbm26/Rbm47/Rbm48/Rnpc3/Rprd2/Rpusd3/Sart1/Scaf11/Scaf1/Scaf4/Sf3b1/Sf3b2/Smndc1/Snrnp70/Snrpb/Snu13/Snw1/Srpk1/Srrm1/Srrm4/Srrt/Srsf2/Srsf7/Syncrip/Tardbp/Tbrg4/Thoc2/Thrap3/Tra2b/Ttf2/U2af1/Wbp11/Ybx1/Zc3h3/Zcchc8/Zrsr2",94
"GO:0034504","protein localization to nucleus","70/2107","337/23040",0.207715133531157,2.27136054891213,7.4591681973874,4.94208757863575e-11,3.23501017782856e-08,2.69340784009201e-08,"Akap1/Appl1/Appl2/Arl2/Atf2/Bard1/Bbs4/Bcl3/Bmp4/Cabp1/Cdk1/Cdk5/Cdkn2a/Ddx5/Dmap1/E2f3/Ei24/Fermt2/Hikeshi/Hnrnpm/Hnrnpu/Hsp90aa1/Hsp90ab1/Ipo13/Ipo8/Kpna2/Kpnb1/Limk2/Lmnb2/Mdm2/Med1/Larp7/Nf2/Notch1/Npm1/Nup107/Nup133/Nup153/Nup54/Nup98/Nup58/Nvl/Phip/Pml/Pola2/Pom121/Ranbp6/Rangap1/Rangrf/Sesn2/Sirt1/Sirt6/Six4/Spg11/Sqstm1/Sumo1/Taf3/Taf8/Tardbp/Tbrg1/Tnpo1/Tnpo3/Wrap53/Txn1/Tyk2/Ubr5/Xpa/Yap1/Ywhaz/Mepce",70
"GO:0016072","rRNA metabolic process","58/2107","255/23040",0.227450980392157,2.48717161283118,7.57626233739602,5.44064947498917e-11,3.23501017782856e-08,2.69340784009201e-08,"Bms1/Bud23/Polr1g/Cdkn2a/Ddx21/Ddx56/Dicer1/Dis3l/Eif6/Eri1/Exosc3/Slx9/Gtpbp4/Macroh2a2/Lsm6/Mak16/Mars1/Ybey/Mphosph6/Mrm1/Mterf4/Nat10/Nol11/Tbl3/Npm1/Nsun3/Nvl/Pa2g4/Pelo/Polr2e/Pop4/Pop7/Rbm34/Rpf1/Rpl35/Rpl7/Rpl7l1/Rpp38/Rpp40/Rps17/Rps27/Rps27rt/Rps6/Rps7/Rrp1/Rrp7a/Sart1/Bop1/Smarcb1/Snu13/Suv39h1/Tcof1/Tfb1m/Tsr2/Ubtf/Utp20/Wbp11/Ythdf2",58
