"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901990","regulation of mitotic cell cycle phase transition","76/2156","346/23040",0.219653179190751,2.34731412270636,8.11335977643,1.23321950482104e-12,4.48051621357025e-09,3.85140263563744e-09,"Ppp2r3d/Actl6a/Ambra1/Anapc15/Anp32b/Apc/Lcmt1/Aven/Babam1/Bcl7a/Bcl7b/Birc5/Casp2/Ccnd3/Ccne2/Cdc7/Cdk2ap2/Cdk6/Cdkn1a/Cep192/Chmp4c/Clspn/Ctc1/Ctdsp1/Ctdspl/Ddb1/Ddx3x/Smarcc1/Rnaseh2b/Dync1li1/Eif4g1/Ercc3/Hyal1/Jade1/Plk1/Khdc3/Klf11/Knl1/Lmnb1/Lsm10/Mblac1/Mrnip/Mta3/Muc1/Nbn/Pinx1/Pkd2/Ppp2ca/Ppp2r5c/Psme3/Rbl2/Rcc2/Rpa2/Rpl17/Rrm1/Rrm2/Sass6/Sde2/Senp2/Sin3a/Smarca4/Smarcd1/Stil/Syf2/Taok3/Ticrr/Topbp1/Trp53/Ttk/Ube2c/Vps4a/Wee1/Zfp207/Zfp655/Zw10/Zwint",76
"GO:1901987","regulation of cell cycle phase transition","91/2156","452/23040",0.201327433628319,2.15147684174233,7.94392040759114,1.53442336081173e-12,4.48051621357025e-09,3.85140263563744e-09,"Ppp2r3d/Timeless/Actl6a/Ambra1/Anapc15/Anp32b/Apc/Lcmt1/Aven/Babam1/Bcl7a/Bcl7b/Birc5/Brca2/Casp2/Ccnd3/Ccne2/Cdc7/Cdk10/Cdk2ap2/Cdk6/Cdkn1a/Cdt1/Cep192/Chmp4c/Clspn/Ctc1/Ctdsp1/Ctdspl/Ddb1/Ddx3x/Smarcc1/Rnaseh2b/Dna2/Dync1li1/Eif4g1/Ercc3/Ercc6/Hyal1/Ing4/Jade1/Plk1/Khdc3/Klf11/Knl1/Lmnb1/Lsm10/Mapk14/Mapk15/Mblac1/Mdc1/Mrnip/Msh2/Mta3/Muc1/Nbn/Pinx1/Pkd2/Ppp2ca/Ppp2r5c/Psme3/Rad51/Rbl2/Rcc2/Rpa2/Rpl17/Rrm1/Rrm2/Sass6/Sde2/Senp2/Setmar/Sin3a/Smarca4/Smarcd1/Sox2/Stil/Syf2/Taok3/Ticrr/Topbp1/Trp53/Ttk/Ube2c/Usp28/Vps4a/Wee1/Zfp207/Zfp655/Zw10/Zwint",91
"GO:0033044","regulation of chromosome organization","60/2156","246/23040",0.24390243902439,2.60645278066881,8.13906645663282,2.93037995716318e-12,5.70447298327766e-09,4.90350246165306e-09,"Actl6a/Actr8/Anapc15/Apc/Lcmt1/Atf7ip/Baz1b/Bcl7a/Bcl7b/Birc5/Bmyc/Cct4/Cep192/Ctc1/Ctnnb1/Smarcc1/Dync1li1/Ercc1/Exosc10/Tasor/Plk1/Kat2b/Khdc3/Knl1/Map2k7/Mapk15/Mapk1/Mcph1/Mphosph8/Naf1/Nbn/Ncapg/Nek2/Nfrkb/Tent4b/Parp1/Pif1/Pinx1/Pnkp/Rmi2/Ruvbl1/Setmar/Sfpq/Sgo2a/Slf2/Smarca4/Smarcd1/Smg5/Src/Terf1/Tnks2/Trp53/Ttk/Ube2c/Wapl/Yy1/Trim28/Zfp207/Zw10/Zwint",60
"GO:0006302","double-strand break repair","68/2156","300/23040",0.226666666666667,2.42226345083488,7.96699959853769,4.13968042383433e-12,6.04393341879812e-09,5.19529893191209e-09,"Shld1/Timeless/Actl6a/Actr8/Ankle1/Babam1/Bcl7a/Bcl7b/Brca2/Cdc7/Smarcc1/Dna2/Epc2/Ercc1/Ercc5/Ercc6/Eya3/Fancm/Fus/H2ax/Hpf1/Htatsf1/Ing3/Plk1/Khdc3/Kmt5a/Kmt5b/Mcm5/Meaf6/Mgmt/Mms22l/Mpnd/Mrgbp/Mrnip/Msh2/Mta1/Nbn/Nucks1/Nudt16l1/Ogg1/Parp1/Pnkp/Ppp4r3b/Rad51/Rad52/Rad54b/Rmi2/Rnf138/Rnf8/Rpa2/Ruvbl1/Setmar/Sfpq/Slf2/Smarca4/Smarcad1/Smarcal1/Smarcd1/Swsap1/Tdp1/Terb2/Topbp1/Trp53/Ube2n/Vps72/Wdr48/Yy1/Zcwpw1",68
"GO:0044772","mitotic cell cycle phase transition","88/2156","442/23040",0.199095022624434,2.12762027888078,7.69109823452677,6.75250588345181e-12,7.88692687187172e-09,6.77951590698562e-09,"Clasp1/Ppp2r3d/Actl6a/Ambra1/Anapc15/Anp32b/Apc/Lcmt1/Aven/Babam1/Bcl7a/Bcl7b/Birc5/Bmyc/Casp2/Ccnd3/Ccne2/Cdc7/Cdk2ap2/Cdk6/Cdkn1a/Cep192/Chmp4c/Cks2/Clspn/Ctc1/Ctdsp1/Ctdspl/Ddb1/Ddx3x/Smarcc1/Rnaseh2b/Dync1li1/Eif4ebp1/Eif4g1/Ercc3/Fbxl15/Hyal1/Itgb1/Jade1/Plk1/Kat14/Kdm8/Khdc3/Klf11/Knl1/Lats1/Lmnb1/Lsm10/Mblac1/Mrnip/Mta3/Muc1/Nbn/Nes/Pinx1/Pkd2/Ppm1d/Ppp2ca/Ppp2r5c/Psme3/Rbl2/Rcc2/Rhou/Rpa2/Rpl17/Rrm1/Rrm2/Sass6/Sde2/Senp2/Sin3a/Smarca4/Smarcd1/Stil/Syf2/Taok3/Ticrr/Topbp1/Trp53/Ttk/Ube2c/Vps4a/Wee1/Zfp207/Zfp655/Zw10/Zwint",88
"GO:0022613","ribonucleoprotein complex biogenesis","86/2156","437/23040",0.196796338672769,2.10305549305222,7.48004802154572,2.21505840970398e-11,2.15599018544521e-08,1.853265536119e-08,"Coil/Celf1/Clns1a/Ddx39b/Ddx3x/Ddx52/Dimt1/Exosc10/Exosc4/Ramac/Fbl/Gemin2/Gemin6/Gtf3a/Htatsf1/Imp3/Kat2b/Lsm4/Luc7l2/Luc7l/Malsu1/Mbnl1/Mcts1/Mcts2/Mdn1/Mettl16/Mettl17/Mrpl20/Mrps2/Mybbp1a/Naf1/Rps14/Ngrn/Nhp2/Nmd3/Noc2l/Nol10/Nol7/Nop2/Nop56/Nop58/Nsun5/LTO1/Tent4b/Rps24/Pop5/Prpf6/Riox1/Riox2/Rpl10/Rpl10a/Rpl14/Rpl38/Rpl5/Rpp25/Rps15/Rps16/Rps19/Rps21/Rps5/Rps9/Rpsa/Rrn3/Rrs1/Rsl24d1/Rsrp1/Ruvbl1/Sde2/Sfswap/Smn1/Snrpc/Snrpg/Srsf10/Srsf1/Tarbp2/Tsr1/U2af2/Usp16/Usp4/Utp14a/Utp3/Wdr43/Ythdc1/Zcchc4/Zfp622/Znhit6",86
"GO:0002181","cytoplasmic translation","42/2156","150/23040",0.28,2.99220779220779,7.86514468145325,5.13610164637673e-11,3.36201512442894e-08,2.88995135695775e-08,"Aars1/Csde1/Drg2/Eef2/Eif4a2/Eif4ebp1/Impact/Mcts1/Mcts2/Ncbp2/Rps14/Paip1/Parp16/Pkm/Rps24/Rpl10a/Rpl12/Rpl13/Rpl14/Rpl17/Rpl19/Rpl22/Rpl27a/Rpl28/Rpl29/Rpl31/Rpl36/Rpl37a/Rpl38/Rpl5/Rplp2/Rps15/Rps16/Rps19/Rps21/Rps5/Rps9/Rpsa/Sh3bgrl/Rps2/Rpl4/Unk",42
"GO:0140241","translation at synapse","22/2156","48/23040",0.458333333333333,4.89795918367347,8.68598107680697,5.18118769175693e-11,3.36201512442894e-08,2.88995135695775e-08,"Eef2/Rps14/Rps24/Rpl10/Rpl10a/Rpl12/Rpl13/Rpl14/Rpl17/Rpl22/Rpl27a/Rpl28/Rpl29/Rpl36/Rpl37/Rpl37a/Rpl38/Rpl5/Rplp2/Rps16/Rps5/Rpl4",22
"GO:0140242","translation at postsynapse","22/2156","48/23040",0.458333333333333,4.89795918367347,8.68598107680697,5.18118769175693e-11,3.36201512442894e-08,2.88995135695775e-08,"Eef2/Rps14/Rps24/Rpl10/Rpl10a/Rpl12/Rpl13/Rpl14/Rpl17/Rpl22/Rpl27a/Rpl28/Rpl29/Rpl36/Rpl37/Rpl37a/Rpl38/Rpl5/Rplp2/Rps16/Rps5/Rpl4",22
"GO:0040029","epigenetic regulation of gene expression","55/2156","236/23040",0.233050847457627,2.49048772051193,7.39483070944574,1.51208844418279e-10,8.83059651402748e-08,7.59068398979759e-08,"Arid4a/Dnmt3l/Airn/Atf7ip/Axin1/Baz2a/Bend3/Pphln1-ps1/Bmyc/Cdyl/Ctcf/Ctr9/Ddb1/Dnmt3b/Dyrk1a/a/Ep300/Tasor/Gnas/H1f0/Hat1/Hells/Cbx3/Kat8/Klf2/Lcor/Lmnb1/Mphosph8/Mta1/Mtf2/N6amt1/Noc2l/Phb1/Ppm1d/Rbbp5/Rnf8/Samd1/Setd1a/Sgf29/Sin3a/Smarca4/Smarcd1/Smyd5/Mettl23/Tdg/Tfap2c/Trim37/Trp53/Uhrf1/Vps72/Wdr5/Tsix/Ythdc1/Trim28/Zfp57",55
