"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","ribonucleoprotein complex biogenesis","172/4276","442/28905",0.389140271493213,2.63051907098019,14.3936558395991,6.51050186610488e-36,4.11984558087117e-32,2.60145948249833e-32,"Coil/Celf1/Clns1a/Ddx39b/Ddx3x/Ddx52/Dimt1/Exosc10/Exosc4/Ramac/Fbl/Gemin2/Gemin6/Gtf3a/Htatsf1/Imp3/Kat2b/Lsm4/Luc7l2/Luc7l/Malsu1/Mbnl1/Mcts1/Mcts2/Mdn1/Mettl16/Mettl17/Mrpl20/Mrps2/Mybbp1a/Naf1/Rps14/Ngrn/Nhp2/Nmd3/Noc2l/Nol10/Nol7/Nop2/Nop56/Nop58/Nsun5/LTO1/Tent4b/Rps24/Pop5/Prpf6/Riox1/Riox2/Rpl10/Rpl10a/Rpl14/Rpl38/Rpl5/Rpp25/Rps15/Rps16/Rps19/Rps21/Rps5/Rps9/Rpsa/Rrn3/Rrs1/Rsl24d1/Rsrp1/Ruvbl1/Sde2/Sfswap/Smn1/Snrpc/Snrpg/Srsf10/Srsf1/Tarbp2/Tsr1/U2af2/Usp16/Usp4/Utp14a/Utp3/Wdr43/Ythdc1/Zcchc4/Zfp622/Znhit6/Rbis/Ago2/Ago3/Bms1/Bud23/C1qbp/Cdc73/Cdkn2a/Cpsf6/Ddx21/Ddx28/Ddx56/Dhx30/Dhx9/Dicer1/Eif2s2/Eif3a/Eif3d/Eif6/Eri1/Exosc3/Slx9/Gemin7/Gnl3l/Grwd1/Gtpbp10/Gtpbp4/Hsp90aa1/Sart3/Isy1/Lsm6/Luc7l3/Mak16/Ybey/Mphosph6/Mrm1/Mterf4/Nat10/Nol11/Tbl3/Npm1/Nsun3/Nvl/Pa2g4/Pop4/Pop7/Prmt5/Prpf18/Prpf3/Ptbp2/Puf60/Rbm34/Rpf1/Rpl10l/Rpl13a/Rpl35/Rpl7/Rpl7l1/Rpp38/Rpp40/Rps11/Rps12/Rps13/Rps15a/Rps17/Rps19bp1/Rps27/Rps27rt/Rps6/Rps7/Rrp1/Rrp7a/Sart1/Scaf11/Bop1/Sf3b1/Rpl23a/Snrpb/Snu13/Srpk1/Suv39h1/Tfb1m/Tsr2/Utp20/Wbp11/Ythdf2",172
"GO:0008380","RNA splicing","173/4276","455/28905",0.38021978021978,2.57021813546603,14.0669189490855,1.28267406167861e-34,3.66888208306079e-31,2.31670044369199e-31,"Rbm4b/Srrm2/Arl6ip4/Armc7/Arvcf/Coil/Bcas2/Ccnl2/Cdk12/Celf1/Clk2/Clns1a/Dbr1/Ddx39a/Ddx39b/Dyrk1a/Eif1/Exosc10/Fus/Dazap1/Gemin2/Gemin6/Hnrnpf/Hnrnph1/Hnrnpl/Hspa8/Htatsf1/Ildr1/Ivns1abp/Iws1/Kat2b/Lsm10/Lsm4/Lsm8/Luc7l2/Luc7l/Magoh/Mbnl1/Ncbp2/Nono/Pcbp4/Pnn/Prpf4b/Prpf6/Prx/Rbm12b1/Rbm22/Rbmxl2/Rest/Rsrp1/Sde2/Sf3b4/Sf3b6/Sfpq/Sfswap/Sgf29/Smn1/Snrpc/Snrpg/Son/Srsf10/Srsf1/Srsf3/Srsf4/Srsf5/Syf2/Taf12/Taf15/Tfip11/Thoc1/Thoc5/Thoc7/Tsen2/Txnl4a/U2af2/Ubl5/Upf3a/Usp4/Ythdc1/Zc3h13/Zfp326/Zpr1/Zranb2/Acin1/Esrp2/Rbm6/C1qbp/Cenatac/Cd2bp2/Cdk13/Ddx5/Clk1/Clk3/Cwc22/Cwc25/Dcps/Ddx1/Dhx9/Eif4a3/Fastk/Gemin7/Dnajc17/Grsf1/Hnrnpa2b1/Hnrnph3/Hnrnpm/Hnrnpu/Hnrnpul1/Sart3/Isy1/Khdrbs1/Lsm6/Luc7l3/Malat1/Mbnl3/Mettl14/Mettl3/Mfap1b/Larp7/Npm1/Nrde2/Nup98/Pabpc1/Paxbp1/Polr2a/Ppil1/Ppp1r8/Prdx6/Prkrip1/Prmt5/Prpf18/Prpf38b/Prpf3/Prpf40a/Ptbp2/Puf60/Qki/Rbm14/Rbm47/Rbm48/Rnpc3/Rps13/Sart1/Scaf11/Scaf1/Sf3b1/Sf3b2/Slc38a2/Smndc1/Snrnp70/Snrpb/Snu13/Snw1/Srpk1/Srrm1/Srrm4/Srsf2/Srsf7/Syncrip/Taf10/Taf6l/Tardbp/Thoc2/Atxn7/Thrap3/Tra2b/Ttf2/U2af1/Wbp11/Ybx1/Zc3h10/Zcchc8/Zrsr2",173
"GO:0006913","nucleocytoplasmic transport","148/4276","359/28905",0.412256267409471,2.78677909482478,14.1944931432831,2.31914164542401e-34,3.66888208306079e-31,2.31670044369199e-31,"Kpna1/Akap5/Ankle1/Anp32a/Anp32b/Nup62/Axin1/Thoc2l/Cdh1/Cdkn1a/Cfl1/Chp1/Cse1l/Ddx39a/Ddx39b/Dnajc27/Egr2/Emd/Ep300/Epm2a/Styx/Hhex/Ing1/Iws1/Jak2/Magoh/Mapk14/Mapk1/Mcm3ap/Mdn1/Mlx/Ncbp2/Nf1/Nmd3/Nolc1/Nup155/Nup160/Nup214/Nup43/Nup50/Nup85/Nutf2/Nxf1/Phax/Ppm1a/Ppp1cc/Ppp1r12a/Psen1/Ptpn14/Rab23/Ranbp2/Rbm22/Rbm33/Rgs14/Rps15/Snupn/Srsf3/Thoc1/Thoc5/Thoc7/Tmco6/Stk4/Traf3ip2/Trp53/Txnip/Uaca/Ythdc1/Ywhae/Trim28/Zpr1/Ahctf1/Ahcyl1/Akap1/Akap8l/Appl1/Appl2/Atf2/Bard1/Bcl3/Bmp4/Cabp1/Camk1/Cdan1/Cdk1/Cdk5/Cdkn2a/Ddx5/Chtop/Cpsf6/Ddx19a/Ddx19b/Dhx9/Dmap1/Dusp16/E2f3/Ei24/Eif4a3/Eif6/Hikeshi/Hnrnpa2b1/Hsp90aa1/Hsp90ab1/Hspa9/Ipo13/Ipo8/Khdrbs1/Kpna2/Kpnb1/Mdm2/Med1/Notch1/Npm1/Nrde2/Nup107/Nup133/Nup153/Nup210/Nup54/Nup98/Nup58/Peg12/Phip/Pml/Pola2/Pom121/Ptpn11/Ranbp17/Ranbp6/Rangap1/Rangrf/Sem1/Sfn/Sirt6/Smurf1/Spg11/Sqstm1/Strada/Sumo1/Tardbp/Thoc2/Tnpo1/Tnpo3/Txn1/Ubr5/Xpo4/Xpo6/Xpo7/Xpot",148
"GO:0051169","nuclear transport","148/4276","359/28905",0.412256267409471,2.78677909482478,14.1944931432831,2.31914164542401e-34,3.66888208306079e-31,2.31670044369199e-31,"Kpna1/Akap5/Ankle1/Anp32a/Anp32b/Nup62/Axin1/Thoc2l/Cdh1/Cdkn1a/Cfl1/Chp1/Cse1l/Ddx39a/Ddx39b/Dnajc27/Egr2/Emd/Ep300/Epm2a/Styx/Hhex/Ing1/Iws1/Jak2/Magoh/Mapk14/Mapk1/Mcm3ap/Mdn1/Mlx/Ncbp2/Nf1/Nmd3/Nolc1/Nup155/Nup160/Nup214/Nup43/Nup50/Nup85/Nutf2/Nxf1/Phax/Ppm1a/Ppp1cc/Ppp1r12a/Psen1/Ptpn14/Rab23/Ranbp2/Rbm22/Rbm33/Rgs14/Rps15/Snupn/Srsf3/Thoc1/Thoc5/Thoc7/Tmco6/Stk4/Traf3ip2/Trp53/Txnip/Uaca/Ythdc1/Ywhae/Trim28/Zpr1/Ahctf1/Ahcyl1/Akap1/Akap8l/Appl1/Appl2/Atf2/Bard1/Bcl3/Bmp4/Cabp1/Camk1/Cdan1/Cdk1/Cdk5/Cdkn2a/Ddx5/Chtop/Cpsf6/Ddx19a/Ddx19b/Dhx9/Dmap1/Dusp16/E2f3/Ei24/Eif4a3/Eif6/Hikeshi/Hnrnpa2b1/Hsp90aa1/Hsp90ab1/Hspa9/Ipo13/Ipo8/Khdrbs1/Kpna2/Kpnb1/Mdm2/Med1/Notch1/Npm1/Nrde2/Nup107/Nup133/Nup153/Nup210/Nup54/Nup98/Nup58/Peg12/Phip/Pml/Pola2/Pom121/Ptpn11/Ranbp17/Ranbp6/Rangap1/Rangrf/Sem1/Sfn/Sirt6/Smurf1/Spg11/Sqstm1/Strada/Sumo1/Tardbp/Thoc2/Tnpo1/Tnpo3/Txn1/Ubr5/Xpo4/Xpo6/Xpo7/Xpot",148
"GO:0044772","mitotic cell cycle phase transition","168/4276","442/28905",0.380090497737557,2.56934420886438,13.853625411865,1.25270012413129e-33,1.58541727710057e-30,1.00110519393735e-30,"Clasp1/Ppp2r3d/Actl6a/Ambra1/Anapc15/Anp32b/Apc/Lcmt1/Aven/Babam1/Bcl7a/Bcl7b/Birc5/Bmyc/Casp2/Ccnd3/Ccne2/Cdc7/Cdk2ap2/Cdk6/Cdkn1a/Cep192/Chmp4c/Cks2/Clspn/Ctc1/Ctdsp1/Ctdspl/Ddb1/Ddx3x/Smarcc1/Rnaseh2b/Dync1li1/Eif4ebp1/Eif4g1/Ercc3/Fbxl15/Hyal1/Itgb1/Jade1/Plk1/Kat14/Kdm8/Khdc3/Klf11/Knl1/Lats1/Lmnb1/Lsm10/Mblac1/Mrnip/Mta3/Muc1/Nbn/Nes/Pinx1/Pkd2/Ppm1d/Ppp2ca/Ppp2r5c/Psme3/Rbl2/Rcc2/Rhou/Rpa2/Rpl17/Rrm1/Rrm2/Sass6/Sde2/Senp2/Sin3a/Smarca4/Smarcd1/Stil/Syf2/Taok3/Ticrr/Topbp1/Trp53/Ttk/Ube2c/Vps4a/Wee1/Zfp207/Zfp655/Zw10/Zwint/Nfix/Actb/Adam17/Anapc1/Anapc5/Ankrd17/Appl1/Appl2/Arid1a/Bard1/Blm/Cacul1/Camk2g/Ccdc57/Ccnb1/Ccnd1/Ccnf/Ccng1/Cdc14b/Cdc20/Cdc23/Cdc73/Cdk1/Cdk2/Cdk5rap2/Cdk7/Cdkn2a/Cdkn2b/Chek1/Chmp2a/Crlf3/Ctdp1/Dpf2/E2f3/Ezh2/Pabir1/Foxn3/Haspin/Hus1/Id2/Incenp/Ino80/Klf4/Rb1/Mad1l1/Mbtps1/Mbtps2/Mdm2/Larp7/Nabp1/Nabp2/Cenpj/Pdpn/Plk3/Pml/Ppp6c/AY074887/Rab11a/Rad21/Rad50/Rbl1/Rcc1/Rfwd3/Rps6/Rrm2b/Smarcb1/Smarcd2/Smc5/Donson/Spc24/Spc25/Spdl1/Taf10/Taok1/Tfap4/Trim39/Trim71/Ube2s/Vps4b/Mepce",168
"GO:1901987","regulation of cell cycle phase transition","169/4276","453/28905",0.373068432671082,2.52187629709018,13.6033692657527,1.14224045859017e-32,1.2046829369931e-29,7.60692066808474e-30,"Ppp2r3d/Timeless/Actl6a/Ambra1/Anapc15/Anp32b/Apc/Lcmt1/Aven/Babam1/Bcl7a/Bcl7b/Birc5/Brca2/Casp2/Ccnd3/Ccne2/Cdc7/Cdk10/Cdk2ap2/Cdk6/Cdkn1a/Cdt1/Cep192/Chmp4c/Clspn/Ctc1/Ctdsp1/Ctdspl/Ddb1/Ddx3x/Smarcc1/Rnaseh2b/Dna2/Dync1li1/Eif4g1/Ercc3/Ercc6/Hyal1/Ing4/Jade1/Plk1/Khdc3/Klf11/Knl1/Lmnb1/Lsm10/Mapk14/Mapk15/Mblac1/Mdc1/Mrnip/Msh2/Mta3/Muc1/Nbn/Pinx1/Pkd2/Ppp2ca/Ppp2r5c/Psme3/Rad51/Rbl2/Rcc2/Rpa2/Rpl17/Rrm1/Rrm2/Sass6/Sde2/Senp2/Setmar/Sin3a/Smarca4/Smarcd1/Sox2/Stil/Syf2/Taok3/Ticrr/Topbp1/Trp53/Ttk/Ube2c/Usp28/Vps4a/Wee1/Zfp207/Zfp655/Zw10/Zwint/Actb/Adam17/Anapc5/Ankrd17/Appl1/Appl2/Arid1a/Atf2/Atf5/Atrip/Bard1/Blm/Ccnb1/Ccnd1/Ccng1/Cdc14b/Cdc20/Cdc23/Cdc73/Cdk1/Cdk2/Cdk5rap2/Cdk7/Cdkn2a/Cdkn2b/Chek1/Clock/Crlf3/Dpf2/Dyrk3/Ezh2/Pabir1/Fem1b/Foxn3/Gli1/Haspin/Hus1/Id2/Incenp/Ino80/Klf4/Rb1/Mad1l1/Mbtps1/Mbtps2/Mdm2/Larp7/Mus81/Nabp1/Nabp2/Npm1/Cenpj/Paxip1/Pdpn/Plk3/Pml/AY074887/Ptpn11/Rab11a/Rad21/Rad50/Rad9a/Rbl1/Rfwd3/Rps6/Rrm2b/Smarcb1/Smarcd2/Donson/Spc24/Spc25/Spdl1/Taok1/Tfap4/Tiprl/Trim39/Vps4b/Mepce",169
"GO:1901990","regulation of mitotic cell cycle phase transition","140/4276","347/28905",0.403458213256484,2.72730581248332,13.4879053723907,2.18956008965778e-31,1.97936232105063e-28,1.2498601654648e-28,"Ppp2r3d/Actl6a/Ambra1/Anapc15/Anp32b/Apc/Lcmt1/Aven/Babam1/Bcl7a/Bcl7b/Birc5/Casp2/Ccnd3/Ccne2/Cdc7/Cdk2ap2/Cdk6/Cdkn1a/Cep192/Chmp4c/Clspn/Ctc1/Ctdsp1/Ctdspl/Ddb1/Ddx3x/Smarcc1/Rnaseh2b/Dync1li1/Eif4g1/Ercc3/Hyal1/Jade1/Plk1/Khdc3/Klf11/Knl1/Lmnb1/Lsm10/Mblac1/Mrnip/Mta3/Muc1/Nbn/Pinx1/Pkd2/Ppp2ca/Ppp2r5c/Psme3/Rbl2/Rcc2/Rpa2/Rpl17/Rrm1/Rrm2/Sass6/Sde2/Senp2/Sin3a/Smarca4/Smarcd1/Stil/Syf2/Taok3/Ticrr/Topbp1/Trp53/Ttk/Ube2c/Vps4a/Wee1/Zfp207/Zfp655/Zw10/Zwint/Actb/Adam17/Anapc5/Ankrd17/Appl1/Appl2/Arid1a/Bard1/Blm/Ccnb1/Ccnd1/Ccng1/Cdc14b/Cdc20/Cdc23/Cdc73/Cdk1/Cdk2/Cdk5rap2/Cdk7/Cdkn2a/Cdkn2b/Chek1/Crlf3/Dpf2/Ezh2/Pabir1/Foxn3/Haspin/Hus1/Id2/Incenp/Ino80/Klf4/Rb1/Mad1l1/Mbtps1/Mbtps2/Mdm2/Larp7/Nabp1/Nabp2/Cenpj/Pdpn/Plk3/Pml/AY074887/Rab11a/Rad21/Rad50/Rbl1/Rfwd3/Rrm2b/Smarcb1/Smarcd2/Donson/Spc24/Spc25/Spdl1/Taok1/Tfap4/Trim39/Vps4b/Mepce",140
"GO:0072594","establishment of protein localization to organelle","163/4276","452/28905",0.360619469026549,2.43772351548466,12.8367473852299,1.42197545805096e-29,1.12478258731831e-26,7.10239320889662e-27,"Kpna1/Akap5/Nup62/Bbc3/Brca2/Cct4/Cdh1/Cdkn1a/Cfl1/Chp1/Cse1l/Ddit3/Edem1/Ep300/Epm2a/Fis1/Gcc2/Get4/Gnptab/Herpud1/Hspa5/Hspa8/Ing1/Jak2/Lamp1/M6pr/Mapk14/Mapk1/Mapt/Nf1/Nolc1/Nup155/Nup214/Nup50/Nup85/Nutf2/Oxa1l/Pex10/Pex6/Pmaip1/Prkaa1/Psen1/Rab23/Rab3gap2/Ranbp2/Rbm22/Pex1/Sec62/Snf8/Snupn/Srp19/Srp72/Srp9/Terf1/Tmco6/Tomm20l/Tomm22/Stk4/Tomm70a/Traf3ip2/Trim37/Trp53/Txnip/Uaca/Vps25/Vps4a/Vps54/Trim28/Zpr1/Aip/Akap1/Pex12/Appl1/Appl2/Get3/Atf2/Atg14/Atp5if1/Bax/Bcl3/Bmp4/Cabp1/Cbl/Cd68/Cdk1/Cdkn2a/Ddx5/Cox18/Dmap1/Dnajc19/Dnlz/E2f3/Ei24/Gsk3a/Macroh2a2/Hikeshi/H1f5/Hk2/Hsp90aa1/Hsp90ab1/Hspa4/Ipo13/Ipo8/Kpna2/Kpnb1/Lrp2/Macf1/Med1/Mterf4/Nabp2/Notch1/Nup107/Nup133/Nup153/Nup54/Nup98/Nup58/Pam16/Parl/Pex2/Pex5/Phip/Pml/Pola2/Pom121/Ptpn23/Rab11a/Rala/Ranbp6/Rangrf/Lrsam1/Sec61a1/Sirt4/Sirt6/Ubl4a/Smurf1/Spcs2/Spcs3/Spg11/Sqstm1/Srp14/Srp68/Srprb/Ssr3/Sumo1/Tardbp/Timm17a/Timm21/Timm44/Timm50/Timm9/Tnpo1/Tnpo3/Tomm20/Tomm34/Tomm7/Wrap53/Tsg101/Ubr5/Vps37b/Ywhaz/Zfand2a/Zfyve16",163
"GO:0033044","regulation of chromosome organization","109/4276","247/28905",0.441295546558704,2.98307946054241,13.0418766115366,1.1364060250803e-28,7.99019702967574e-26,5.04537692538577e-26,"Actl6a/Actr8/Anapc15/Apc/Lcmt1/Atf7ip/Baz1b/Bcl7a/Bcl7b/Birc5/Bmyc/Cct4/Cep192/Ctc1/Ctnnb1/Smarcc1/Dync1li1/Ercc1/Exosc10/Tasor/Plk1/Kat2b/Khdc3/Knl1/Map2k7/Mapk15/Mapk1/Mcph1/Mphosph8/Naf1/Nbn/Ncapg/Nek2/Nfrkb/Tent4b/Parp1/Pif1/Pinx1/Pnkp/Rmi2/Ruvbl1/Setmar/Sfpq/Sgo2a/Slf2/Smarca4/Smarcd1/Smg5/Src/Terf1/Tnks2/Trp53/Ttk/Ube2c/Wapl/Yy1/Trim28/Zfp207/Zw10/Zwint/Map3k4/Lig4/Actb/Anapc1/Anapc5/Arid1a/Atrx/Ccnb1/Cdc20/Cdc23/Cdk1/Cdk2/Cdk5rap2/Cenpv/Dhx36/Dpf2/Gch1/Gnl3l/H3f3a/Haspin/Hnrnpa2b1/Hnrnpd/Hnrnpu/Incenp/Ino80/Ino80b/Ino80c/Kat5/Rb1/Mad1l1/Nabp2/Nat10/Ncaph/Pml/Rad21/Rad50/Setdb1/Sirt1/Sirt6/Smarcb1/Smarcd2/Smc5/Spc24/Spc25/Spdl1/Stn1/Sub1/Tinf2/Tnks",109
"GO:0034248","regulation of amide metabolic process","154/4276","432/28905",0.356481481481481,2.40975145515019,12.3010517077656,2.18801450927261e-27,1.38457558146771e-24,8.74284534441982e-25,"Rps23rg1/Rbm4b/Aars1/Eif2ak1/Cnot11/Cnot8/Csde1/Ddx39b/Ddx3x/Ddx6/Dnajc3/Dus3l/Eef2/Eef2k/Eif1/Eif2ak3/Eif3b/Eif4ebp1/Eif4g1/Eif4g3/Enc1/Ep300/Eprs1/Niban1/Fxr1/Hbs1l/Ilf3/Impact/Ireb2/Larp1/Magoh/Malsu1/Mapk1/Mknk1/Mtg2/Mtor/Nanos1/Ncbp2/Neurl1a/Ngrn/Nolc1/Ogt/Paip1/Paip2/Parp16/Patl1/Pcif1/Pdk1/Pkm/Ppp1ca/Ppp1r15b/Pstk/Pum1/Pym1/Rara/Rpl10/Rpl38/Rpl5/Rtn4/Secisbp2/Serbp1/Sh3bgrl/Sp1/Srp9/Stk35/Tarbp2/Tmed2/Trp53/Unk/Upf3a/Usp16/Ythdf3/Zcchc4/Zfp598/Abcf1/Ago2/Ago3/Ajuba/Apoe/Bcl3/Mlst8/Btg2/C1qbp/Caprin2/Cdk5rap1/Cnbp/Cnot1/Cnot2/Cnot6/Ccn1/Dhx36/Dhx9/Dnajc1/Eefsec/Eif2ak2/Eif3d/Eif3k/Eif4a3/Eif4g2/Eif6/Etf1/Gapdh/Gsk3a/Hap1/Hnrnpd/Hnrnpu/Igf2bp1/Khdrbs1/Lsm14a/Mettl14/Mettl3/Nanos3/Nat10/Nck1/Nfe2l2/Npm1/Nsmaf/Nsun3/Pa2g4/Tent2/Patl2/Pdik1l/Pelo/Pla2g6/Plxnb2/Pml/Ptcd3/Rps6kb2/Pum3/Qki/Rcc1l/Rpl13a/Rplp1/Rps3/Rpusd3/Rtn3/Sars1/Sesn2/Sox4/Syncrip/Tcof1/Tigar/Tmed10/Trap1/Trim71/Tsfm/Tyms/Wtip/Ybx1/Ythdf1/Ythdf2/Zfp36/Zfp385a/Zfp750",154
