"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035770","ribonucleoprotein granule","56/2140","267/22834",0.209737827715356,2.23792222338899,6.54301970758238,6.86636523095096e-09,4.83392112258947e-06,3.82348127070848e-06,"Actb/Ago2/Ago3/Ajuba/Arc/Atxn2l/Bard1/Btbd1/Carhsp1/Clock/Cnot1/Cnot2/Dcps/Ddx19a/Ddx19b/Ddx1/Ddx28/Dhx30/Dhx36/Dhx9/Dyrk3/Fastk/G3bp2/Grsf1/Hnrnpa2b1/Hnrnpab/Hnrnpu/Igf2bp1/Kpna2/Kpnb1/Lsm14a/Lsm6/Mcrip1/Nanos3/Pabpc1/Patl2/Pnrc1/Pnrc2/Poli/Prkaa2/Qki/Rc3h2/Rps6/Rpusd3/Sqstm1/Sumo1/Tbrg4/Trim71/Tuba1a/Vcp/Wtip/Ybx1/Ythdf1/Ythdf2/Zfp36/Znfx1",56
"GO:0016607","nuclear speck","69/2140","367/22834",0.188010899182561,2.00609386539,6.24834704421335,1.56174506960994e-08,5.497342645027e-06,4.34822706222979e-06,"Acin1/Hipk1/Abhd17a/Akap8l/Atxn2l/Bard1/Brd1/Brd2/Cbll1/Cd2bp2/Cdk13/Ddx5/Chtop/Ndufb1/Cpsf6/Cwc22/Cwc25/Ppp4r3a/Dhx36/Dusp11/Dyrk3/Gadd45a/Fam193b/Fam76a/Fastk/Hbp1/Hdac4/Unc45a/Hikeshi/Hnrnpu/Itpkc/Kazn/Luc7l3/Malat1/Maml1/Mettl3/Morf4l1/Noc3l/Npm1/Nrde2/Pacsin2/Pla2g6/Poli/Ppih/Ppp1r8/Prcc/Prkaa2/Prpf3/Rbm14/Rfxap/Rufy1/Sart1/Scaper/Sf3b1/Sf3b2/Smc5/Snrnp70/Snw1/Srpk1/Srrm1/Srsf2/Srsf7/Tardbp/Thap7/Thrap3/Timm50/Tmem179b/U2af1/Wbp11",69
"GO:0005635","nuclear envelope","79/2140","454/22834",0.174008810572687,1.85669027131623,5.92908768273677,5.0190548270677e-08,9.25388435635889e-06,7.31953472564871e-06,"Trappc2b/Ltc4s/Abcf1/Ahctf1/Igf2r/Rnf123/Ankrd17/Apoe/Atp5mf/Bax/Cacybp/Canx/Ccar1/Cdk2/Cenpv/Chmp2a/Chmp2b/Clip1/Cuedc2/Ddx19b/Dpy19l1/Dpy19l4/Epc1/Gapdh/Gch1/Gmcl1/Gtpbp4/Hacd3/Ipo8/Kpna2/Kpnb1/Lbr/Lemd2/Lemd3/Lmnb2/Mad1l1/Mfsd10/Ndel1/Npc1/Nradd/Nup107/Nup133/Nup153/Nup210/Nup54/Nup98/Nup58/Pml/Polr2m/Pom121/Psen2/Ptger4/Ranbp17/Rangap1/Rap1gap2/Cpne1/Rogdi/Senp1/Sirt1/Sumo1/Taf3/Thap7/Tmc6/Tmem109/Vcf2/Tmem97/Tmpo/Tnks/Tnpo3/Tnrc18/Tra2b/Txlng/Vapa/Vps4b/Wdfy3/Xpo4/Xpo7/Xpot/Yeats4",79
"GO:0098687","chromosomal region","69/2140","378/22834",0.182539682539683,1.94771547248183,5.97480621044249,5.25788883884028e-08,9.25388435635889e-06,7.31953472564871e-06,"Actb/Ahctf1/Atrx/Blm/Bod1/Ccnb1/Cdc20/Cdk2/Cenpb/Cenpc1/Cenpt/Cenpv/Chek1/Chmp2a/Chmp2b/Dhx36/Dscc1/Dsn1/Cenpp/Ercc6l/Ezh2/H3f3a/H4c1/H4c6/H4c12/H4c14/H4c16/Hnrnpa2b1/Hnrnpu/Incenp/Itgb3bp/Kansl1/Kat5/Kdm4a/Kif2c/Mad1l1/Mis18bp1/Nabp1/Nabp2/Ndel1/Nsmce1/Nup107/Nup133/Nup98/Plk3/Pmf1/Pml/Pold1/Psen2/Rad21/Rad50/Rangap1/Sgo1/Sirt6/Smarcb1/Smarcd2/Smc5/Spc24/Spc25/Spdl1/Stn1/Suv39h1/Suv39h2/Thoc2/Tinf2/Tnks/Wrap53/Zbtb48/Zfp330",69
"GO:0000775","chromosome, centromeric region","53/2140","268/22834",0.197761194029851,2.11013042265309,5.87868597976134,1.32438794044406e-07,1.86473822014523e-05,1.47494993788401e-05,"Actb/Ahctf1/Atrx/Bod1/Ccnb1/Cdc20/Cenpb/Cenpc1/Cenpt/Cenpv/Chmp2a/Chmp2b/Dscc1/Dsn1/Cenpp/Ercc6l/Ezh2/H3f3a/H4c1/H4c6/H4c12/H4c14/H4c16/Hnrnpu/Incenp/Itgb3bp/Kansl1/Kat5/Kdm4a/Kif2c/Mad1l1/Mis18bp1/Ndel1/Nsmce1/Nup107/Nup133/Nup98/Plk3/Pmf1/Psen2/Rad21/Rangap1/Sgo1/Sirt6/Smarcb1/Smarcd2/Smc5/Spc24/Spc25/Spdl1/Suv39h1/Suv39h2/Zfp330",53
"GO:0005759","mitochondrial matrix","59/2140","314/22834",0.187898089171975,2.00489017203405,5.76587711623425,1.71917473436651e-07,2.01716502165671e-05,1.59551479733313e-05,"Acadm/Acadvl/Alas1/Aldh2/Atxn3/Bloc1s1/C1qbp/Casq1/Ccnb1/Cdk1/Ddx28/Dhx30/Dnajc19/Dtymk/Fastk/Foxo3/Grsf1/Hsd17b8/Hax1/Hspa9/Iba57/Idh3b/Lactb2/Lyrm7/Mccc2/Me2/Mrm1/Mrpl15/Mrpl19/Mrpl38/Mrpl39/Mrpl41/Mrpl48/Mrpl54/Mrps16/Mrps24/Mrps25/Mrps28/Mrps30/Mrps36/Mterf4/Ndufa9/Nsun3/Pam16/Pccb/Pdha1/Polg/Ptcd3/Rps3/Sirt4/Slc27a3/Supv3l1/Tbrg4/Tefm/Tfam/Tfb1m/Timm44/Trap1/Tyms",59
"GO:0098798","mitochondrial protein-containing complex","56/2140","299/22834",0.187290969899666,1.99841215265839,5.58834003916352,3.90850834277902e-07,3.93084267616633e-05,3.10917430575955e-05,"Micos13/Ndufs2/Atp5mc3/Atp5mf/Atp5me/Atp5po/Bax/Cox6a1/Cox7a2/Cox7c/Cox8a/Ndufb1/Dnajc19/Idh3b/Mccc2/Micos10/Mrpl15/Mrpl19/Mrpl38/Mrpl39/Mrpl41/Mrpl48/Mrpl54/Mrps16/Mrps24/Mrps25/Mrps28/Mrps30/Mrps36/Mterf4/Mtx1/Ndufa4/Ndufa6/Ndufa9/Ndufb10/Ndufb6/Ndufs4/Ndufs8/Ndufv2/Nsun3/Pam16/Pdha1/Polg/Ptcd3/Sdhc/Supv3l1/Timm17a/Timm21/Timm50/Timm9/Tomm20/Tomm6/Tomm7/Uqcc3/Uqcrfs1/Uqcrq",56
"GO:0036464","cytoplasmic ribonucleoprotein granule","49/2140","249/22834",0.196787148594378,2.09973726682431,5.61105752284388,4.52707623956405e-07,3.98382709081636e-05,3.15108332990708e-05,"Actb/Ago2/Ago3/Ajuba/Arc/Atxn2l/Bard1/Btbd1/Carhsp1/Clock/Cnot1/Cnot2/Dcps/Ddx19a/Ddx19b/Ddx1/Dhx36/Dhx9/Dyrk3/G3bp2/Hnrnpa2b1/Hnrnpab/Hnrnpu/Igf2bp1/Kpna2/Kpnb1/Lsm14a/Lsm6/Mcrip1/Nanos3/Pabpc1/Patl2/Pnrc1/Pnrc2/Poli/Prkaa2/Qki/Rc3h2/Rps6/Sqstm1/Trim71/Tuba1a/Vcp/Wtip/Ybx1/Ythdf1/Ythdf2/Zfp36/Znfx1",49
"GO:0031965","nuclear membrane","49/2140","263/22834",0.186311787072243,1.98796418037739,5.18214816097069,2.37075536711764e-06,0.000185445753161202,0.000146681823298858,"Trappc2b/Ltc4s/Ahctf1/Rnf123/Ankrd17/Atp5mf/Canx/Cenpv/Cuedc2/Dpy19l1/Dpy19l4/Epc1/Gapdh/Gch1/Gtpbp4/Hacd3/Kpna2/Kpnb1/Lbr/Lemd2/Lemd3/Lmnb2/Mfsd10/Nup107/Nup133/Nup153/Nup98/Pml/Pom121/Psen2/Ptger4/Rangap1/Rap1gap2/Cpne1/Senp1/Sirt1/Sumo1/Taf3/Thap7/Tmc6/Tmem109/Tmem97/Tmpo/Tnks/Tnrc18/Tra2b/Txlng/Vapa/Yeats4",49
"GO:0010494","cytoplasmic stress granule","23/2140","87/22834",0.264367816091954,2.82082930497368,5.47183445263858,3.45056534887632e-06,0.000242919800560893,0.000192142007321639,"Atxn2l/Ddx19a/Ddx19b/Ddx1/Dhx36/Dyrk3/G3bp2/Igf2bp1/Kpna2/Kpnb1/Lsm14a/Mcrip1/Nanos3/Pabpc1/Prkaa2/Qki/Rc3h2/Vcp/Ybx1/Ythdf1/Ythdf2/Zfp36/Znfx1",23
