"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","chromosomal region","86/2152","378/22834",0.227513227513228,2.41405066776814,8.94233686918405,7.1375248747935e-15,5.01767998697983e-12,3.98950074580563e-12,"Clasp1/Actl6a/Apc/Thoc2l/Baz1b/Birc5/Brca2/Cbx1/Cdt1/Cebpb/Cenpu/Chmp3/Chmp4c/Chrac1/Csnk1a1/Ctc1/Ctcf/Dctn4/Smarcc1/Dna2/Dnmt3b/Dync1li1/Ercc1/Gatad2b/Gtf2b/H2ax/Hells/H2ac4/H2ac23/H4c2/H4c8/H4c11/Cbx3/Plk1/Kat2b/Kat8/Kdm4c/Kmt5b/Knl1/Meaf6/Mta2/Nbn/Ncapg/Nde1/Nek2/Nup160/Nup43/Nup85/Pif1/Pinx1/Ppp1ca/Ppp1cc/Ppp1r12a/Ppp2ca/Ppp2r1a/Ppp2r5c/Psen1/Rad51/Rbbp7/Rcc2/Rnf8/Rpa2/Sgo2a/Sin3a/Smarca4/Smarcd1/Smc3/Spag5/Sugt1/Sycp3/Terb2/Terf1/Tfip11/Thoc1/Thoc5/Thoc7/Tnks2/Ttk/Uhrf2/Wdr82/Wrnip1/Zbtb10/Zfp207/Zfp692/Zw10/Zwint",86
"GO:1902493","acetyltransferase complex","35/2152","105/22834",0.333333333333333,3.53686493184634,8.40442846897328,1.14650520204157e-11,2.67305961589121e-09,2.12531954187052e-09,"Actl6a/Brpf3/Dr1/Ep300/Epc2/Ing3/Ing4/Ing5/Jade1/Kat14/Kat2b/Kat6a/Kat6b/Kat8/Map3k7/Meaf6/Mrgbp/Msl2/Msl3l2/Naa15/Naa20/Naa25/Naa30/Naa50/Ogt/Pdhb/Phf20/Ruvbl1/Sgf29/Taf12/Taf5/Txnl4a/Vps72/Wdr5/Zzz3",35
"GO:0031248","protein acetyltransferase complex","34/2152","100/22834",0.34,3.60760223048327,8.42965442377557,1.20052921141754e-11,2.67305961589121e-09,2.12531954187052e-09,"Actl6a/Brpf3/Dr1/Ep300/Epc2/Ing3/Ing4/Ing5/Jade1/Kat14/Kat2b/Kat6a/Kat6b/Kat8/Map3k7/Meaf6/Mrgbp/Msl2/Msl3l2/Naa15/Naa20/Naa25/Naa30/Naa50/Ogt/Phf20/Ruvbl1/Sgf29/Taf12/Taf5/Txnl4a/Vps72/Wdr5/Zzz3",34
"GO:0005840","ribosome","61/2152","260/22834",0.234615384615385,2.48940877895339,7.79116995241361,1.52094430491676e-11,2.67305961589121e-09,2.12531954187052e-09,"Ascc2/Ascc3/Ddx3x/Eef2/Eif4g1/Fxr1/Hbs1l/Imp3/Mcts1/Mrpl16/Mrpl1/Mrpl20/Mrpl2/Mrpl34/Mrpl36/Mrpl52/Mrps15/Mrps18a/Mrps2/Mrps31/Mrps35/Mrps5/Mtg2/Rps14/Nhp2/Mrps34/Nufip2/Oas1f/Rnf14/Rps24/Psma6/Rpl10/Rpl10a/Rpl12/Rpl13/Rpl14/Rpl17/Rpl19/Rpl22/Rpl27a/Rpl28/Rpl29/Rpl31/Rpl36/Rpl37/Rpl37a/Rpl38/Rpl5/Rplp2/Rps15/Rps16/Rps19/Rps21/Rps5/Rps9/Rpsa/Rsl24d1/Rps2/Rpl4/Usp10/Zfp598",61
"GO:0000775","chromosome, centromeric region","61/2152","268/22834",0.227611940298507,2.41509806913388,7.51680005759296,5.80443782675265e-11,8.16103958441423e-09,6.48875049685402e-09,"Clasp1/Actl6a/Apc/Baz1b/Birc5/Cbx1/Cdt1/Cebpb/Cenpu/Chmp3/Chmp4c/Chrac1/Csnk1a1/Ctcf/Dctn4/Smarcc1/Dnmt3b/Dync1li1/Gtf2b/Hells/H2ac4/H2ac23/H4c2/H4c8/H4c11/Cbx3/Plk1/Kat2b/Kat8/Kdm4c/Kmt5b/Knl1/Meaf6/Ncapg/Nde1/Nek2/Nup160/Nup43/Nup85/Pinx1/Ppp1cc/Ppp1r12a/Ppp2ca/Ppp2r1a/Ppp2r5c/Psen1/Rcc2/Sgo2a/Sin3a/Smarca4/Smarcd1/Smc3/Spag5/Sugt1/Sycp3/Ttk/Uhrf2/Zfp207/Zfp692/Zw10/Zwint",61
"GO:0022626","cytosolic ribosome","38/2152","134/22834",0.283582089552239,3.00897464351107,7.52350615847809,3.43217016623927e-10,4.02135937811035e-08,3.19733747065448e-08,"Ascc2/Ascc3/Ddx3x/Hbs1l/Mcts1/Rps14/Nhp2/Rnf14/Rps24/Rpl10/Rpl10a/Rpl12/Rpl13/Rpl14/Rpl17/Rpl19/Rpl22/Rpl27a/Rpl28/Rpl29/Rpl31/Rpl36/Rpl37/Rpl37a/Rpl38/Rpl5/Rplp2/Rps15/Rps16/Rps19/Rps21/Rps5/Rps9/Rpsa/Rps2/Rpl4/Usp10/Zfp598",38
"GO:0000786","nucleosome","36/2152","132/22834",0.272727272727273,2.89379858060155,7.03874201351795,3.17484178773445e-09,3.18844825253903e-07,2.53509923201052e-07,"Srcap/Actl6a/Epc2/H1f0/H2aj/H2ax/H2az1/H1f1/H1f2/H1f3/H1f6/H2ac4/H2ac10/H2ac23/H2bc3/H2bc14/H3c2/H3c7/H3c8/H3c10/H4c2/H4c8/H4c11/H2ac21/H3c13/H2bc27/Hp1bp3/Ing3/Kat6a/Kat6b/Meaf6/Mphosph8/Mrgbp/Noc2l/Ruvbl1/Vps72",36
"GO:0000123","histone acetyltransferase complex","28/2152","89/22834",0.314606741573034,3.33816465477633,7.12907984536491,5.60988385201752e-09,4.9296854349604e-07,3.91953727029119e-07,"Actl6a/Brpf3/Dr1/Ep300/Epc2/Ing3/Ing4/Ing5/Jade1/Kat14/Kat2b/Kat6a/Kat6b/Kat8/Map3k7/Meaf6/Mrgbp/Msl2/Msl3l2/Ogt/Phf20/Ruvbl1/Sgf29/Taf12/Taf5/Vps72/Wdr5/Zzz3",28
"GO:0000791","euchromatin","24/2152","69/22834",0.347826086956522,3.69064166801358,7.22026165904738,7.35077906392542e-09,5.74177520215507e-07,4.56522068180631e-07,"Bcas3/Cbx2/Creb1/Ctnnb1/Ctr9/Exosc10/Exosc4/H1f0/H2az1/H1f1/H1f2/H1f3/Cbx3/Ice2/Jak2/Ogt/Tbp/Prdx1/Setd1a/Smarca4/Sp1/Trim24/Uhrf1/Trim28",24
"GO:0044391","ribosomal subunit","47/2152","206/22834",0.228155339805825,2.42086386111813,6.60798956414165,8.26165614659795e-09,5.80794427105836e-07,4.61783096194054e-07,"Ddx3x/Imp3/Mcts1/Mrpl16/Mrpl1/Mrpl20/Mrpl2/Mrpl34/Mrpl36/Mrpl52/Mrps15/Mrps18a/Mrps2/Mrps31/Mrps35/Mrps5/Rps14/Nhp2/Mrps34/Rps24/Rpl10/Rpl10a/Rpl12/Rpl13/Rpl14/Rpl17/Rpl19/Rpl22/Rpl27a/Rpl28/Rpl29/Rpl31/Rpl36/Rpl37/Rpl37a/Rpl38/Rpl5/Rplp2/Rps15/Rps16/Rps19/Rps21/Rps5/Rps9/Rpsa/Rps2/Rpl4",47
"GO:0000779","condensed chromosome, centromeric region","43/2152","184/22834",0.233695652173913,2.47964987069662,6.50040063086187,1.66136140868013e-08,1.06176097300194e-06,8.44194170343683e-07,"Clasp1/Actl6a/Apc/Birc5/Cdt1/Cebpb/Cenpu/Chmp3/Chmp4c/Csnk1a1/Dctn4/Smarcc1/Dync1li1/Gtf2b/Cbx3/Plk1/Kat2b/Kat8/Kmt5b/Knl1/Meaf6/Ncapg/Nde1/Nek2/Nup160/Nup43/Nup85/Pinx1/Ppp1cc/Ppp1r12a/Psen1/Sgo2a/Sin3a/Smarca4/Smarcd1/Spag5/Sugt1/Sycp3/Ttk/Zfp207/Zfp692/Zw10/Zwint",43
"GO:0070603","SWI/SNF superfamily-type complex","27/2152","94/22834",0.287234042553192,3.04772403701653,6.41721337199276,8.88501337950795e-08,5.20513700482841e-06,4.13854570571818e-06,"Srcap/Actl6a/Actr8/Anp32e/Baz1b/Baz2a/Bcl7a/Bcl7b/Cdk2ap2/Chrac1/Smarcc1/Ercc6/Gatad2b/Hmgxb4/Ing3/Mta1/Mta2/Mta3/Mybbp1a/Myo1c/Nfrkb/Rbbp7/Rsf1/Ruvbl1/Smarca4/Smarcd1/Yy1",27
"GO:0005819","spindle","66/2152","370/22834",0.178378378378378,1.89270069325831,5.58431031692592,3.01047160255581e-07,1.62797041276672e-05,1.2943809076576e-05,"Clasp1/Rmdn2/Abraxas2/Arhgef7/Aspm/Nup62/Birc5/Birc6/Bmyc/Cbx1/Cdc7/Cep95/Chmp3/Chmp4c/Cntrl/Csnk1a1/Dctn4/Dcun1d5/Dr1/Dync1li1/Emd/Cbx3/Ikbkg/Iqcb1/Jtb/Plk1/Kat14/Kat2b/Katnbl1/Kif11/Klhl21/Lats1/Maea/Map4/Mapk14/Mapk15/Mapkbp1/Nde1/Nek2/Ngrn/Parp4/Pinx1/Pkd2/Poc1b/Prc1/Psrc1/Rcc2/Rgs14/Sgf29/Slc25a5/Smc3/Spag5/Spin1/Stag1/Tbl1x/Dynlt2b/Terf1/Wrap73/Ttl/Tubgcp4/Tubgcp5/Vps4a/Wapl/Wdr5/Zw10/Zzz3",66
"GO:0000776","kinetochore","38/2152","173/22834",0.219653179190751,2.33065087994499,5.66701022963567,5.95851620863762e-07,2.99202635333732e-05,2.37892639608013e-05,"Clasp1/Actl6a/Apc/Birc5/Cdt1/Cenpu/Chmp3/Chmp4c/Csnk1a1/Dctn4/Smarcc1/Dync1li1/Gtf2b/Plk1/Kat2b/Kat8/Knl1/Meaf6/Nde1/Nek2/Nup160/Nup43/Nup85/Pinx1/Ppp1cc/Ppp1r12a/Psen1/Sgo2a/Sin3a/Smarca4/Smarcd1/Spag5/Sugt1/Ttk/Zfp207/Zfp692/Zw10/Zwint",38
"GO:0000793","condensed chromosome","58/2152","325/22834",0.178461538461538,1.89358307120389,5.2336523079773,1.51466205979945e-06,7.09871618692674e-05,5.64410914914741e-05,"Clasp1/Actl6a/Dnmt3l/Apc/Baz1b/Birc5/Brca2/Cdt1/Cebpb/Cenpu/Chmp3/Chmp4c/Csnk1a1/Ctcf/Dctn4/Smarcc1/Dync1li1/Esrrb/Gtf2b/H2ax/H1f6/Hmgb2/Cbx3/Plk1/Kat2b/Kat8/Kmt5b/Knl1/Meaf6/Ncapg2/Ncapg/Nde1/Nek2/Nup160/Nup43/Nup85/Pinx1/Ppp1cc/Ppp1r12a/Psen1/Rad51/Rrs1/Setmar/Sgo2a/Sin3a/Smarca4/Smarcd1/Smc3/Spag5/Sugt1/Sycp3/Top3b/Topbp1/Ttk/Zfp207/Zfp692/Zw10/Zwint",58
"GO:1904949","ATPase complex","33/2152","148/22834",0.222972972972973,2.36587586657289,5.37736455728366,2.25798035340028e-06,9.9210011777525e-05,7.88807610299705e-05,"Srcap/Actl6a/Actr8/Anp32e/Atp5f1a/Atp5f1d/Atp6v0a1/Atp6v1g2/Atp6v1h/Baz1b/Baz2a/Bcl7a/Bcl7b/Cdk2ap2/Chrac1/Smarcc1/Ercc6/Gatad2b/Hmgxb4/Ing3/Mta1/Mta2/Mta3/Mybbp1a/Myo1c/Nfrkb/Rbbp7/Rsf1/Ruvbl1/Smarca4/Smarcd1/Vps4a/Yy1",33
"GO:0016607","nuclear speck","62/2152","367/22834",0.168937329700272,1.79252555128997,4.9371931449097,4.37149655637591e-06,0.000180774239948957,0.000143731558602824,"Rbm4b/Srrm2/Adamts4/Afdn/Atp6v0a1/Baz2a/Bcas2/Bclaf1/Bmp2k/Cdk12/Cdyl/Csnk1a1/Ddx39a/Ddx39b/Dock1/Dyrk1a/Gpatch2/H2ax/Hexim2/Hp1bp3/Jade1/Kat6a/Klf15/Luc7l2/Mapk14/Mapk9/Mapt/Ncapg2/Nfatc4/Nup43/Nxf1/Ogg1/Pnisr/Pnn/Pomp/Ppp4r3b/Prkaa1/Prpf4b/Prpf6/Prx/Rmi2/Sap130/Sde2/Setd1a/Sgk1/Son/Srsf10/Srsf1/Srsf3/Srsf4/Srsf5/Syf2/Tfip11/Thoc1/Thoc7/U2af2/Vps72/Ythdc1/Zc3h13/Zc3h14/Zc3h18/Lpxn",62
"GO:0034399","nuclear periphery","30/2152","135/22834",0.222222222222222,2.35790995456423,5.10435473595247,6.87645461369719e-06,0.00026292760821114,0.000209050774814877,"Actl6a/Anp32a/Cad/Cebpb/Dcaf7/Ddx39b/Smarcc1/Emd/Enc1/Kat8/Lmnb1/Maea/Mapt/Narf/Nono/Nrm/Nup205/Ogg1/Psma6/Ruvbl1/S100a10/Sfpq/Smarca4/Smarcd1/Smc3/Stag1/Trp53/Uhrf1/Yy1/Zfp326",30
"GO:0022625","cytosolic large ribosomal subunit","20/2152","72/22834",0.277777777777778,2.94738744320529,5.33850629275812,7.10615157327405e-06,0.00026292760821114,0.000209050774814877,"Nhp2/Rpl10/Rpl10a/Rpl12/Rpl13/Rpl14/Rpl17/Rpl19/Rpl22/Rpl27a/Rpl28/Rpl29/Rpl31/Rpl36/Rpl37/Rpl37a/Rpl38/Rpl5/Rplp2/Rpl4",20
"GO:0000781","chromosome, telomeric region","28/2152","124/22834",0.225806451612903,2.39594076028301,5.02777250762137,9.98273073830617e-06,0.000350892985451462,0.000278991053791609,"Thoc2l/Brca2/Cbx1/Ctc1/Dna2/Ercc1/Gatad2b/H2ax/Mta2/Nbn/Pif1/Pinx1/Ppp1ca/Ppp1cc/Rad51/Rbbp7/Rnf8/Rpa2/Terb2/Terf1/Tfip11/Thoc1/Thoc5/Thoc7/Tnks2/Wdr82/Wrnip1/Zbtb10",28
"GO:0000922","spindle pole","32/2152","152/22834",0.210526315789474,2.2338094306398,4.92306490295729,1.13857669039295e-05,0.00038115210159345,0.000303049735638425,"Rmdn2/Abraxas2/Arhgef7/Aspm/Nup62/Birc6/Cep95/Cntrl/Dctn4/Dync1li1/Emd/Ikbkg/Plk1/Katnbl1/Kif11/Klhl21/Lats1/Mapk14/Mapkbp1/Nde1/Nek2/Poc1b/Psrc1/Rgs14/Smc3/Spag5/Stag1/Dynlt2b/Tubgcp4/Tubgcp5/Vps4a/Zw10",32
"GO:0016363","nuclear matrix","25/2152","107/22834",0.233644859813084,2.47911093353716,4.94684081266548,1.57169786378065e-05,0.000502228908289906,0.000399316538596901,"Actl6a/Anp32a/Cad/Cebpb/Dcaf7/Ddx39b/Smarcc1/Enc1/Kat8/Lmnb1/Maea/Nono/Ogg1/Psma6/Ruvbl1/S100a10/Sfpq/Smarca4/Smarcd1/Smc3/Stag1/Trp53/Uhrf1/Yy1/Zfp326",25
"GO:0015934","large ribosomal subunit","28/2152","130/22834",0.215384615384615,2.28535887903918,4.74079574077558,2.5302948919537e-05,0.000773390134366718,0.000614913770081196,"Mrpl16/Mrpl1/Mrpl20/Mrpl2/Mrpl34/Mrpl36/Mrpl52/Mrps18a/Nhp2/Rpl10/Rpl10a/Rpl12/Rpl13/Rpl14/Rpl17/Rpl19/Rpl22/Rpl27a/Rpl28/Rpl29/Rpl31/Rpl36/Rpl37/Rpl37a/Rpl38/Rpl5/Rplp2/Rpl4",28
"GO:0090734","site of DNA damage","26/2152","118/22834",0.220338983050847,2.33792766681369,4.70017537823364,3.21056693704865e-05,0.000940428565310501,0.00074772414191791,"Shld1/Timeless/Asf1a/Cbx1/Ddb1/Ercc6/H2ax/Cbx3/Hpf1/Htatsf1/Mdc1/Mms22l/Nbn/Parp1/Pnkp/Rad51/Rnf138/Rnf8/Rpa2/Setmar/Slf2/Smarcad1/Smarcal1/Topbp1/Traip/Trp53",26
"GO:0035861","site of double-strand break","21/2152","86/22834",0.244186046511628,2.59095919425953,4.76807426959857,3.64701695940612e-05,0.001013858676946,0.000806107595205998,"Shld1/Timeless/Asf1a/Ddb1/H2ax/Htatsf1/Mdc1/Mms22l/Nbn/Parp1/Pnkp/Rad51/Rnf138/Rnf8/Rpa2/Setmar/Slf2/Smarcad1/Smarcal1/Topbp1/Trp53",21
"GO:0090575","RNA polymerase II transcription regulator complex","44/2152","250/22834",0.176,1.86746468401487,4.44864478518906,3.74969069709758e-05,0.001013858676946,0.000806107595205998,"Batf2/Ascc2/Ascc3/Atf1/Bach1/Bmyc/Cbfb/Cebpb/Creb1/Crebzf/Ctnnb1/Ddit3/Dr1/E2f4/Ercc3/Fosl2/Gtf2a2/Gtf2b/Cbx3/Jund/Med11/Med21/Med28/Med7/Mlx/Ncoa3/Nono/Tbp/Rara/Rfx5/S100a10/Sfpq/Smad7/Taf12/Taf13/Taf1/Taf4b/Taf5/Tcf15/Tead1/Tfdp1/Thap11/Trp53/Trim28",44
"GO:0015935","small ribosomal subunit","20/2152","81/22834",0.246913580246914,2.61989994951581,4.71105010045508,4.67570985183835e-05,0.00121741630586754,0.000967953969327938,"Ddx3x/Imp3/Mcts1/Mrps15/Mrps18a/Mrps2/Mrps31/Mrps35/Mrps5/Rps14/Mrps34/Rps24/Rps15/Rps16/Rps19/Rps21/Rps5/Rps9/Rpsa/Rps2",20
"GO:1902562","H4 histone acetyltransferase complex","13/2152","41/22834",0.317073170731707,3.36433493517091,4.88772246060057,6.27545802385056e-05,0.00157558821098819,0.0012527324100243,"Actl6a/Epc2/Ing3/Kat8/Meaf6/Mrgbp/Msl2/Msl3l2/Ogt/Phf20/Ruvbl1/Vps72/Wdr5",13
"GO:1902773","GTPase activator complex","6/2152","10/22834",0.6,6.36635687732342,5.47507441954043,0.000104594614755753,0.00238064413754523,0.00189282329420756,"Lamtor1/Lamtor3/Lamtor4/Rraga/Rragc/Slc38a9",6
"GO:1990877","FNIP-folliculin RagC/D GAP","6/2152","10/22834",0.6,6.36635687732342,5.47507441954043,0.000104594614755753,0.00238064413754523,0.00189282329420756,"Lamtor1/Lamtor3/Lamtor4/Rraga/Rragc/Slc38a9",6
"GO:0000118","histone deacetylase complex","19/2152","79/22834",0.240506329113924,2.5519152039904,4.45707014011183,0.000104978617729591,0.00238064413754523,0.00189282329420756,"Srcap/Anp32e/Brms1l/Cdk2ap2/Csnk2a1/Gatad2b/Hint1/Ing3/Kdm3b/Mta1/Mta2/Mta3/Phf12/Rbbp7/Rcor2/Ruvbl1/Sap130/Sin3a/Tbl1x",19
"GO:0034708","methyltransferase complex","23/2152","106/22834",0.216981132075472,2.30229887073017,4.33500238923092,0.000114718593737375,0.00252022410616797,0.00200380175245218,"Aebp2/Dnmt3l/Clns1a/Hsd17b10/Kat8/Kdm6a/Mga/Mtf2/N6amt1/Nsd1/Phf20/Rbbp5/Rbbp7/Ruvbl1/Setd1a/Setd1b/Snrpg/Taf1/Trim37/Trmt61a/Wdr5/Wdr82/Zc3h13",23
"GO:0140672","ATAC complex","7/2152","14/22834",0.5,5.30529739776952,5.1977538574188,0.000123552370655213,0.00263203989607924,0.00209270522545194,"Dr1/Kat14/Kat2b/Map3k7/Sgf29/Wdr5/Zzz3",7
"GO:0000228","nuclear chromosome","45/2152","271/22834",0.166051660516605,1.76190688486811,4.07000063238071,0.00012826234604332,0.00265201262554277,0.0021085853173066,"Srcap/Timeless/Actl6a/Actr8/Dnmt3l/Airn/Anp32e/Baz1b/Bcas2/Birc5/Brca2/Brms1l/Chd1/Csnk2a1/Ercc5/Gins1/Gins3/H2ax/H1f6/Ing3/Plk1/Mcm5/Mms22l/Ncapg2/Ncapg/Nek2/Nfrkb/Parp1/Phf12/Pinx1/Rad51/Rpa2/Rrs1/Ruvbl1/Sap130/Sin3a/Smarca4/Smarcad1/Smarcal1/Smc3/Sycp3/Top1/Topbp1/Trim24/Yy1",45
"GO:0031414","N-terminal protein acetyltransferase complex","6/2152","11/22834",0.545454545454545,5.78759716120311,5.12311297643585,0.000211702478835285,0.00425219550346301,0.00338087266951989,"Naa15/Naa20/Naa25/Naa30/Naa50/Txnl4a",6
"GO:0005874","microtubule","70/2152","486/22834",0.1440329218107,1.52827497055089,3.79721504300367,0.000227782806686167,0.00444809203056598,0.00353662778802207,"Clasp1/Rmdn2/Clmp/Abraxas2/Apc2/Apc/Arfgef2/Arhgef2/Aspm/Bcas3/Bcl10/Birc5/Camsap3/Cct4/Cdk2ap2/Cep170b/Cfap45/Chmp3/Chmp4c/Cnp/Dvl1/Dync1h1/Dync1li1/Dynlrb1/Dynlt1b/Dynlt1c/Dyrk1a/Emd/Mid1/Gabarap/Gramd2b/Hook2/Hspa8/Igbp1/Plk1/Kif11/Klhl21/Map1lc3a/Map1lc3b/Map2k2/Map4/Map7/Mapt/Mdm1/Mid1ip1/Mns1/Mta1/Nde1/Nek2/Nicn1/Parp4/Prc1/Psrc1/Rcc2/Rgs14/Septin9/Slain2/Sntb2/Spag5/Stmn1/Tpgs1/Trim54/Ttl/Ttll6/Tubgcp4/Tubgcp5/Wdr44/Whamm/Zfp207/Zw10",70
"GO:0120114","Sm-like protein family complex","19/2152","84/22834",0.226190476190476,2.40001548946716,4.14656175853142,0.000248572061866469,0.00472286917546292,0.00375509999576373,"Clns1a/Ddx39b/Gemin2/Gemin6/Hexim1/Htatsf1/Lsm10/Lsm4/Lsm8/Luc7l2/Luc7l/Nolc1/Prpf6/Sf3b4/Sf3b6/Smn1/Snrpc/Snrpg/Txnl4a",19
"GO:0140534","endoplasmic reticulum protein-containing complex","26/2152","133/22834",0.195488721804511,2.07425161416552,4.00788910078597,0.000258022173889621,0.00477341021695798,0.00379528460762849,"Alg14/Caml/Derl3/Dpm2/Elovl6/Emc7/Faf1/Faf2/Fam8a1/Ganab/Gpaa1/H2-Q2/H2-Q4/Hspa5/Hyou1/Insig1/Syvn1/P4ha2/B2m/Pigm/Pigt/Ppib/Tusc3/Ubxn1/Ubxn7/Zw10",26
"GO:0030684","preribosome","23/2152","112/22834",0.205357142857143,2.17896143122677,4.03451826788797,0.000271941046673966,0.004901911687482,0.00389745467702769,"Dimt1/Exosc10/Fbl/Imp3/Mdn1/Rps14/Noc2l/Nol10/Nol7/Nop56/Nop58/Rps24/Riox1/Rps16/Rps19/Rps5/Rps9/Rrs1/Tsr1/Utp14a/Utp3/Wdr43/Zfp622",23
"GO:0005759","mitochondrial matrix","49/2152","314/22834",0.156050955414013,1.65579345535482,3.77445336712821,0.000306726824044998,0.00539072393259084,0.00428610377810248,"Acaa2/Bckdk/Capn10/Clpp/Clpx/Coasy/Dnaja3/Creb1/Cs/Dna2/Elac2/Etfbkmt/Glrx5/Hsd17b10/Iscu/Ivd/Lrrc59/Nudt1/Mars2/Mettl17/Mpg/Mrpl16/Mrpl1/Mrpl20/Mrpl2/Mrpl34/Mrpl36/Mrpl52/Mrps15/Mrps18a/Mrps2/Mrps31/Mrps35/Mrps5/Mterf1b/Mtg2/Mrps34/Nme6/Nudt8/Pdhb/Pdk1/Prdx1/Ptpn1/Sirt5/Slc25a5/Ssbp1/Trp53/Tufm/Yars2",49
