"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003729","mRNA binding","77/2075","369/22548",0.208672086720867,2.26753648741307,7.81565467133967,5.69695941699722e-12,6.18689792685898e-09,5.42110664522683e-09,"Esrp2/Ago2/Arc/Atxn2l/C1qbp/Carhsp1/Ddx5/Chtop/Cnbp/Cpsf6/Ddx19a/Ddx19b/Ddx21/Dhx33/Dhx36/Dhx9/Dnd1/Dppa5a/Eef1a1/Eefsec/Eif2s2/Eif3a/Eif3d/Eif4a3/Eif4g2/Etf1/G3bp2/Hnrnpa0/Hnrnpa2b1/Hnrnpd/Hnrnpm/Hnrnpu/Hsp90aa1/Igf2bp1/Khdrbs1/Lsm14a/Luc7l3/Mettl14/Mettl3/Mir21a/Larp7/N4bp1/Nanos3/Nup98/Pabpc1/Ppp1r8/Ptbp2/Pum3/Purb/Qki/Rbm14/Rbm47/Rc3h2/Rpl13a/Rpl30/Rpl35/Rpl7/Rps13/Rps3/Rps6/Rps7/Sf3b1/Snrnp70/Spen/Srrm4/Srsf7/Supt5/Syncrip/Tardbp/Thoc2/Tra2b/Tyms/Ybx1/Ythdf1/Ythdf2/Zfp36/Zfp385a",77
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","73/2075","381/22548",0.191601049868766,2.08203396262214,6.78129456225144,1.17200434285655e-09,6.36398358171105e-07,5.57627329443326e-07,"Hmga2/Nr1h3/Actb/Actn4/Aip/Akap8/Ankrd42/Taf11/Arid1a/Asah1/Atf2/Bbs4/Bex1/Cdkn2a/Ddx5/Cnot1/Commd7/Ctbp2/Ctdp1/Ddrgk1/Dhx9/Dmap1/E4f1/Foxp1/Gata1/Gbx2/Hdac4/H2bc23/H2bc9/Hspa4/Id2/Ipo13/Isl1/Keap1/Klf4/Rb1/Lrp2/Med16/Med17/Med1/Mef2a/Ncoa2/Ncoa6/Ncoa7/Nfe2l2/Npm1/Nr1h2/Nrbf2/Pramel13/Psmc3ip/Pkn1/Ptpn2/Cpne1/Sall1/Sirt1/Smad4/Smarcb1/Snw1/Sp3/Spen/Sra1/Srarp/Srf/Sumo2/Tacc1/Taf10/Taf6/Taf7/Tbx18/Thrap3/Tmf1/Tob2/Trip4",73
"GO:0003725","double-stranded RNA binding","25/2075","82/22548",0.304878048780488,3.31295915368792,6.67997292082937,4.56969244247035e-08,1.65422866417427e-05,1.44947437473446e-05,"Adarb1/Ago2/Ago3/Cltc/Ddx1/Ddx21/Dgcr8/Dhx30/Dhx33/Dhx36/Dhx9/Dicer1/Eif2ak2/Eif4a1/Strbp/Hnrnpu/Hsp90ab1/Lsm14a/Oas2/Prkrip1/Rc3h2/Slc3a2/Supv3l1/Tuba1b/Tubb4b",25
"GO:0003713","transcription coactivator activity","53/2075","269/22548",0.197026022304833,2.14098445827921,5.99336478527121,8.32847710367089e-08,2.26118153364665e-05,1.98130086887329e-05,"Actn4/Taf11/Bcl3/Birc2/Camta2/Ccar1/Ccdc124/Cnot6/Ctbp2/Dhx9/Elob/Tcf20/Hcfc1/Jmy/Kat5/Kmt2c/Kmt2d/Maml1/Med16/Med17/Med1/Mysm1/Ncoa2/Ncoa6/Ncoa7/Notch1/Npm1/Nrbf2/Nup98/Cenpj/Pdlim1/Pmf1/Pml/Psmc3ip/Pkn1/Qki/Rbm14/Setd4/Sirt1/Smarcb1/Snw1/Sra1/Ss18/Sub1/Tacc1/Taf6/Taf6l/Thrap3/Tmf1/Trip4/Tsg101/Ube2l3/Yap1",53
"GO:0016922","nuclear receptor binding","35/2075","155/22548",0.225806451612903,2.45372716673144,5.78169669711884,4.70640654384245e-07,0.000102223150132258,8.9570347697549e-05,"Nr1h3/Actn4/Taf11/Arid1a/Asah1/Ddx5/Cnot1/Ctbp2/Foxp1/Ipo13/Isl1/Lrp2/Med16/Med17/Med1/Ncoa2/Ncoa6/Ncoa7/Nr1h2/Nrbf2/Pramel13/Psmc3ip/Pkn1/Sirt1/Snw1/Sra1/Srarp/Sumo2/Tacc1/Taf10/Taf7/Thrap3/Tmf1/Tob2/Trip4",35
"GO:1990841","promoter-specific chromatin binding","21/2075","78/22548",0.269230769230769,2.92559777571826,5.42342989212362,4.99193561114995e-06,0.000903540345618141,0.000791703472364834,"Atf2/Ddx5/Dhx9/Gadd45a/Ezh2/Hdac4/Hnrnpu/Isl1/Klf4/Med1/Nup98/Pcgf2/Polr2a/Prdm15/Rbl1/Setdb1/Sirt1/Taf10/Wdr13/Zfp609/Zfp750",21
"GO:0140097","catalytic activity, acting on DNA","44/2075","238/22548",0.184873949579832,2.00893388680774,4.98154539144958,5.85438757363746e-06,0.000908266414995754,0.000795844566401242,"Hmga2/Lig4/Myd88/Alkbh2/Apex2/Arid1a/Mcm9/Atrx/Blm/Bptf/Cdk7/Chd1l/Chd3/Ddx1/Dffb/Dhx30/Dhx36/Dhx9/Dicer1/Dscc1/Ercc6l/Exo5/Helb/Ino80/Mcm6/Mus81/Neil1/Pld3/Pola2/Pold1/Polg/Poli/Rad50/Rad9a/Rfc1/Rfc4/Rfc5/Rps3/Recql5/Supv3l1/Tatdn1/Top2b/Ttf2/Xrcc2",44
"GO:0008094","ATP-dependent activity, acting on DNA","27/2075","118/22548",0.228813559322034,2.48640392076782,5.15378027255141,7.12554483566082e-06,0.000967292711440957,0.000847564806768077,"Myd88/Arid1a/Mcm9/Atrx/Blm/Bptf/Cdk7/Chd1l/Chd3/Ddx1/Dhx30/Dhx36/Dhx9/Dscc1/Ercc6l/Helb/Ino80/Mcm6/Rad50/Rfc1/Rfc4/Rfc5/Recql5/Supv3l1/Top2b/Ttf2/Xrcc2",27
"GO:0005048","signal sequence binding","15/2075","46/22548",0.326086956521739,3.54342587742273,5.49730877128704,8.87631427617233e-06,0.00101986226708908,0.00089362749776924,"Cabp1/Kpna2/Kpnb1/Lbr/Nup153/Nup98/Nup58/Pex5/Pom121/Ranbp6/Sec61a1/Srp14/Srp68/Tnpo1/Tomm20",15
"GO:0043021","ribonucleoprotein complex binding","37/2075","190/22548",0.194736842105263,2.11610906785035,4.91846574289591,9.39099693452188e-06,0.00101986226708908,0.00089362749776924,"Abcf1/C1qbp/Cd2bp2/Ddx5/Cpsf6/Dhx33/Dhx9/Dnajc1/Eefsec/Eif3k/Eif4a3/Eif6/Eri1/Ezh2/Gtpbp4/Gtpbp6/Hnrnpu/Letm1/Letm2/Mdm2/Npm1/Nvl/Pelo/Ppih/Prmt5/Ptcd3/Rpl35/Rplp1/Bop1/Sec61a1/Uqcc5/Snrnp70/Snrpb/Srp68/Timm50/Xist/Ythdf1",37
