"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140993","histone modifying activity","51/2127","202/22548",0.252475247524752,2.67645128405647,7.72425050647278,4.25164149147275e-11,3.02138468687602e-08,2.60058381750872e-08,"Baz1b/Brca2/Brpf3/Cdyl/Dcaf1/Dyrk1a/Ep300/Eya3/Fbl/Fbxl19/Gtf2b/Hat1/Ing3/Ing4/Jade1/Jak2/Kat14/Kat2b/Kat6a/Kat6b/Kat8/Kdm3b/Kdm4c/Kdm6a/Kdm8/Kmt5a/Kmt5b/Map3k7/Mcm3ap/Meaf6/Mier1/Mta2/N6amt1/Naa50/Naa60/Ncoa3/Nsd1/Prkaa1/Riox1/Riox2/Rnf20/Setd1a/Setd1b/Setmar/Smyd5/Mettl23/Taf1/Trim37/Uhrf1/Usp16/Wdr5",51
"GO:0034212","peptide N-acetyltransferase activity","23/2127","53/22548",0.433962264150943,4.60036724592171,8.46898498404823,8.82619242121801e-11,3.02138468687602e-08,2.60058381750872e-08,"Brca2/Brpf3/Cdyl/Ep300/Gtf2b/Hat1/Ing3/Ing4/Jade1/Kat14/Kat2b/Kat6a/Kat6b/Kat8/Mcm3ap/Meaf6/Naa20/Naa30/Naa50/Naa60/Ncoa3/Taf1/Txnl4a",23
"GO:0042393","histone binding","62/2127","278/22548",0.223021582733813,2.36421751174519,7.38644611916679,1.02637396932301e-10,3.02138468687602e-08,2.60058381750872e-08,"Srcap/Sfmbt1/Anp32a/Anp32b/Anp32e/Asf1a/Atad2b/Baz1b/Baz2a/Bcas3/Cbx1/Cbx2/Chd1/Cks2/Smarcc1/H2ax/Hat1/Cbx3/Hpf1/Ing1/Ing3/Ing4/Ing5/Jak2/Kdm4c/Kdm8/Mcm3ap/Mllt10/Mllt6/Morc3/Mphosph8/Msh6/Mtf2/Nanog/Ncapg2/Phf14/Noc2l/Pou5f1/Psme4/Ptma/Pwwp2a/Rbbp5/Rbbp7/Rnf20/Rnf8/Rsf1/Set/Sgf29/Smarca4/Spin1/Taf1/Tbl1x/Tdrd3/Trim24/Tspyl4/Uhrf1/Uhrf2/Usp16/Vps72/Wdr5/Zcwpw1/Zzz3",62
"GO:0003735","structural constituent of ribosome","45/2127","170/22548",0.264705882352941,2.80610636356094,7.62863389903385,1.09075259454008e-10,3.02138468687602e-08,2.60058381750872e-08,"Imp3/Mrpl16/Mrpl1/Mrpl20/Mrpl2/Mrpl34/Mrpl36/Mrpl52/Mrps15/Mrps18a/Mrps2/Mrps31/Mrps35/Mrps5/Rps14/Mrps34/Rps24/Rpl10/Rpl10a/Rpl12/Rpl13/Rpl14/Rpl17/Rpl19/Rpl22/Rpl27a/Rpl28/Rpl29/Rpl31/Rpl36/Rpl37/Rpl37a/Rpl38/Rpl5/Rplp2/Rps15/Rps16/Rps19/Rps21/Rps5/Rps9/Rpsa/Rsl24d1/Rps2/Rpl4",45
"GO:0004402","histone acetyltransferase activity","20/2127","44/22548",0.454545454545455,4.81856648288242,8.18250839642565,5.4146924363094e-10,1.19989584388616e-07,1.03278133627291e-07,"Brca2/Brpf3/Cdyl/Ep300/Gtf2b/Hat1/Ing3/Ing4/Jade1/Kat14/Kat2b/Kat6a/Kat6b/Kat8/Mcm3ap/Meaf6/Naa50/Naa60/Ncoa3/Taf1",20
"GO:0061733","peptide-lysine-N-acetyltransferase activity","20/2127","47/22548",0.425531914893617,4.51099840950695,7.77621530324265,2.27229034034647e-09,4.19616282850647e-07,3.61174569886649e-07,"Brca2/Brpf3/Cdyl/Ep300/Gtf2b/Hat1/Ing3/Ing4/Jade1/Kat14/Kat2b/Kat6a/Kat6b/Kat8/Mcm3ap/Meaf6/Naa50/Naa60/Ncoa3/Taf1",20
"GO:0008080","N-acetyltransferase activity","25/2127","78/22548",0.320512820512821,3.39770713536581,6.84591536222462,2.43395401463468e-08,3.85260149745032e-06,3.31603358986319e-06,"Brca2/Brpf3/Cdyl/Ep300/Gtf2b/Hat1/Ing3/Ing4/Jade1/Kat14/Kat2b/Kat6a/Kat6b/Kat8/Mcm3ap/Meaf6/Naa15/Naa20/Naa30/Naa50/Naa60/Ncoa3/Ogt/Taf1/Txnl4a",25
"GO:0043021","ribonucleoprotein complex binding","43/2127","190/22548",0.226315789473684,2.39913889095093,6.25044269469726,4.61362140350423e-08,6.38986564385336e-06,5.49992235733531e-06,"Csde1/Csnk2a1/Ddx3x/Derl3/Eef2/Eif1/Fxr1/G3bp1/Hspa5/Impact/Larp1/Letmd1/Malsu1/Mettl17/Mtor/Naa15/Nmd3/Nolc1/Oxa1l/Pitx2/Ppp1ca/Prmt3/Prpf6/Pym1/Rictor/Rnf135/Rplp2/Rpsa/Secisbp2/Serbp1/Snd1/Snrpc/Snrpg/Srp19/Srp72/Tmco1/Tmem223/Ung/Unk/Usp16/Ythdf3/Zfp598/Zfp622",43
"GO:0010484","histone H3 acetyltransferase activity","10/2127","15/22548",0.666666666666667,7.06723084156088,7.58605985222218,1.05267718162232e-07,1.29596257470837e-05,1.11546845210506e-05,"Brca2/Brpf3/Ep300/Ing4/Jade1/Kat2b/Kat6a/Kat6b/Mcm3ap/Meaf6",10
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","68/2127","381/22548",0.178477690288714,1.89201455600843,5.6672267992534,2.02058589821645e-07,2.23880917522382e-05,1.92700086714116e-05,"Bcas3/Bcl10/Bhlhe40/Ccdc62/Cebpb/Cited2/Dnaja3/Creb1/Crkl/Ctnnb1/Dcaf1/Ddit3/Dnaaf4/Egr2/Eomes/Ep300/Esrrb/Faf1/Fus/Gtf2a2/Gtf2b/Hsd17b10/Hspb1/Jund/Kat8/Kdm4c/Lats1/Lcor/Mapk14/Mlx/Mta1/Mta2/Mtdh/Ncoa3/Nsd1/Parp1/Rnf14/Tbp/Pias2/Pitx2/Pou5f1/Prpf6/Psma6/Rad23b/Rbpj/Rest/Setd1a/Setd6/Sin3a/Slc30a9/Smarca4/Sox2/Sp1/Src/Tacc2/Taf1/Taf4b/Tbx3/Tbx6/Tfdp1/Stk4/Trim24/Trp53/Trp53bp2/Ubxn7/Uhrf2/Wwp2/Ywhah",68
