BDP_ID,Chromosome,watson_start,watson_end,crick_start,crick_end,watson_appris,watson_biotype,watson_biotype_gencode,watson_canonical,watson_description,watson_ensembl_id,watson_gencode_basic,watson_gene_name,watson_gene_name_updated,watson_keyword,watson_length,watson_refseq,watson_rnacentral_id,watson_transcript_id,watson_tsl,watson_uniprot,crick_appris,crick_biotype,crick_biotype_gencode,crick_canonical,crick_description,crick_ensembl_id,crick_gencode_basic,crick_gene_name,crick_gene_name_updated,crick_keyword,crick_length,crick_refseq,crick_rnacentral_id,crick_transcript_id,crick_tsl,crick_uniprot
0610005C13Rik_1,chr7,45224631,45225130,45224071,45224570,principal3,protein_coding,protein_coding,1,"branched chain aminotransferase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1276534]",ENSMUSG00000030826,GENCODE basic,Bcat2,Bcat2,Acetylation; Amino-acid biosynthesis; Aminotransferase; Branched-chain amino acid biosynthesis; Lipid metabolism; Mitochondrion; Pyridoxal phosphate; Reference proteome; Transferase; Transit peptide,19559,,,ENSMUST00000033098,tsl1 (assigned to previous version 15),O35855,NA,NA,NA,NA,NA,ENSMUSG00000109644,NA,0610005C13Rik,NA,NA,7539,NA,NA,NA,NA,NA
0610009B22Rik_1,chr11,51579508,51580007,51578948,51579447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,NA,trafficking protein particle complex 2B [Source:MGI Symbol;Acc:MGI:1913300],ENSMUSG00000007777,GENCODE basic,Trappc2b,Trappc2b,NA,3489,,,ENSMUST00000007921,tsl1 (assigned to previous version 8),
0610030E20Rik_1,chr6,72324320,72324819,72323760,72324259,,protein_coding,retained_intron,NA,RIKEN cDNA 0610030E20 gene [Source:MGI Symbol;Acc:MGI:1915614],ENSMUSG00000058706,,0610030E20Rik,0610030E20Rik,Reference proteome,5832,,URS00009C2E1C,ENSMUST00000205578,tslNA (assigned to previous version 1),Q149G0,NA,NA,NA,NA,NA,ENSMUSG00000108435,NA,Gm45051,NA,NA,1583,NA,NA,NA,NA,NA
0610037L13Rik_1,chr4,107747082,107747581,107746522,107747021,principal1,protein_coding,protein_coding,1,CXXC motif containing zinc binding protein [Source:MGI Symbol;Acc:MGI:1921348],ENSMUSG00000028608,GENCODE basic,Czib,Czib,Alternative splicing; Metal-binding; Phosphoprotein; Reference proteome; Zinc,9572,,,ENSMUST00000135454,tsl1 (assigned to previous version 7),Q8BHG2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1110002J07Rik_1,chr10,66756090,66756589,66755530,66756029,NA,NA,NA,NA,NA,ENSMUSG00000097921,NA,Gm26576,NA,NA,5623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000097134,NA,1110002J07Rik,NA,NA,8125,NA,NA,NA,NA,NA
1110004E09Rik_1,chr16,90731764,90732263,90731204,90731703,NA,NA,NA,NA,NA,ENSMUSG00000116607,NA,4930534H18Rik,NA,NA,1626,NA,NA,NA,NA,NA,principal1,protein_coding,protein_coding,1,cilia and flagella associate protien 298 [Source:MGI Symbol;Acc:MGI:1915251],ENSMUSG00000022972,GENCODE basic,Cfap298,Cfap298,Cell projection; Cilium; Cytoplasm; Cytoskeleton; Reference proteome,9306,,,ENSMUST00000023694,tsl1 (assigned to previous version 9),Q8BL95
1110012L19Rik_1,chrX,69429494,69429993,69428934,69429433,principal1,protein_coding,protein_coding,1,endothelium and lymphocyte associated ASCH domain 1 [Source:MGI Symbol;Acc:MGI:1915868],ENSMUSG00000045237,GENCODE basic,Eola1,Eola1,3D-structure; Reference proteome,3541,,,ENSMUST00000053981,tsl1 (assigned to previous version 5),Q9D1F3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1110034G24Rik_1,chr2,132528882,132529381,132528322,132528821,principal1,protein_coding,protein_coding,NA,shieldin complex subunit 1 [Source:MGI Symbol;Acc:MGI:1920997],ENSMUSG00000044991,GENCODE basic,Shld1,Shld1,Chromosome; DNA damage; DNA repair; Reference proteome,64125,,,ENSMUST00000061891,tsl1 (assigned to previous version 10),Q9D112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1110036E04Rik_1,chr9,63957042,63957541,63956482,63956981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1110038B12Rik_1,chr17,35171494,35171993,35170934,35171433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENSMUSG00000092203,NA,1110038B12Rik,NA,NA,22150,NA,NA,NA,NA,NA
1190005I06Rik_1,chr8,121361174,121361673,121360614,121361113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,protein_coding,protein_coding,1,RIKEN cDNA 1190005I06 gene [Source:MGI Symbol;Acc:MGI:1916168],ENSMUSG00000043687,GENCODE basic,1190005I06Rik,1190005I06Rik,Phosphoprotein; Reference proteome,39031,,,ENSMUST00000123927,tsl1 (assigned to previous version 7),Q8K1L6
