BDP_ID,Chromosome,watson_ensembl_id,watson_gene_name,watson_start,watson_end,crick_ensembl_id,crick_gene_name,crick_start,crick_end
0610005C13Rik_1,chr7,ENSMUSG00000030826,Bcat2,45224631,45225130,ENSMUSG00000109644,0610005C13Rik,45224071,45224570
0610009B22Rik_1,chr11,NA,NA,51579508,51580007,ENSMUSG00000007777,Trappc2b,51578948,51579447
0610030E20Rik_1,chr6,ENSMUSG00000058706,0610030E20Rik,72324320,72324819,ENSMUSG00000108435,Gm45051,72323760,72324259
0610037L13Rik_1,chr4,ENSMUSG00000028608,Czib,107747082,107747581,NA,NA,107746522,107747021
1110002J07Rik_1,chr10,ENSMUSG00000097921,Gm26576,66756090,66756589,ENSMUSG00000097134,1110002J07Rik,66755530,66756029
1110004E09Rik_1,chr16,ENSMUSG00000116607,4930534H18Rik,90731764,90732263,ENSMUSG00000022972,Cfap298,90731204,90731703
1110012L19Rik_1,chrX,ENSMUSG00000045237,Eola1,69429494,69429993,NA,NA,69428934,69429433
1110034G24Rik_1,chr2,ENSMUSG00000044991,Shld1,132528882,132529381,NA,NA,132528322,132528821
1110036E04Rik_1,chr9,NA,NA,63957042,63957541,NA,NA,63956482,63956981
1110038B12Rik_1,chr17,NA,NA,35171494,35171993,ENSMUSG00000092203,1110038B12Rik,35170934,35171433
1190005I06Rik_1,chr8,NA,NA,121361174,121361673,ENSMUSG00000043687,1190005I06Rik,121360614,121361113
1190007I07Rik_1,chr10,NA,NA,82459091,82459590,ENSMUSG00000063320,Uqcc6,82458531,82459030
1300002E11Rik_1,chr16,ENSMUSG00000097290,1300002E11Rik,21613123,21613622,NA,NA,21612563,21613062
1500004A13Rik_1,chr3,NA,NA,88739844,88740343,ENSMUSG00000098912,1500004A13Rik,88739284,88739783
1500011K16Rik_1,chr2,NA,NA,127634458,127634957,ENSMUSG00000051319,Mtln,127633898,127634397
1600010M07Rik_1,chr7,NA,NA,109605886,109606385,ENSMUSG00000101585,1600010M07Rik,109605326,109605825
1600020E01Rik_1,chr6,ENSMUSG00000097048,1600020E01Rik,86504312,86504811,NA,NA,86503752,86504251
1700003F12Rik_1,chr2,ENSMUSG00000038523,1700003F12Rik,154390835,154391334,ENSMUSG00000027489,Necab3,154390275,154390774
1700003M07Rik_1,chr4,ENSMUSG00000085389,1700003M07Rik,129854580,129855079,NA,NA,129854020,129854519
1700008J07Rik_1,chr7,ENSMUSG00000053877,Srcap,127112078,127112577,ENSMUSG00000101225,1700008J07Rik,127111518,127112017
1700008O03Rik_1,chr7,NA,NA,44024504,44025003,ENSMUSG00000008028,1700008O03Rik,44023944,44024443
1700019D03Rik_1,chr1,NA,NA,52992023,52992522,ENSMUSG00000043629,1700019D03Rik,52991463,52991962
1700028E10Rik_1,chr5,ENSMUSG00000097321,1700028E10Rik,151292185,151292684,ENSMUSG00000054622,D730045B01Rik,151291625,151292124
1700028I16Rik_1,chr10,ENSMUSG00000056821,1700028I16Rik,82648008,82648507,NA,NA,82647448,82647947
1700029I15Rik_1,chr2,ENSMUSG00000044916,Frey1,92213274,92213773,NA,NA,92212714,92213213
1700029P11Rik_1,chr15,ENSMUSG00000061633,Ndufb11b,81864757,81865256,NA,NA,81864197,81864696
1700037H04Rik_1,chr2,ENSMUSG00000087405,Gm14232,131002014,131002513,ENSMUSG00000027327,Adissp,131001454,131001953
1700044C05Rik_1,chr14,ENSMUSG00000096997,Gm26791,118603313,118603812,NA,NA,118602753,118603252
1700092M07Rik_1,chr19,ENSMUSG00000090840,Tex54,8718093,8718592,NA,NA,8717533,8718032
1700096K18Rik_1,chr5,ENSMUSG00000101856,1700096K18Rik,25734991,25735490,NA,NA,25734431,25734930
1700109H08Rik_1,chr5,ENSMUSG00000008307,1700109H08Rik,3621697,3622196,NA,NA,3621137,3621636
1700110K17Rik_1,chr9,ENSMUSG00000087047,1700110K17Rik,40244853,40245352,ENSMUSG00000040111,Gramd1b,40244293,40244792
1700113A16Rik_1,chr3,NA,NA,88085062,88085561,ENSMUSG00000096935,1700113A16Rik,88084502,88085001
1700123M08Rik_1,chr4,ENSMUSG00000085614,1700123M08Rik,11966669,11967168,ENSMUSG00000049225,Pdp1,11966109,11966608
1700123O20Rik_1,chr14,ENSMUSG00000040822,1700123O20Rik,54923721,54924220,ENSMUSG00000022185,Acin1,54923161,54923660
1810009A15Rik_1,chr19,ENSMUSG00000116347,Gm49416,8866278,8866777,ENSMUSG00000070167,Snora57,8865718,8866217
1810010H24Rik_1,chr11,ENSMUSG00000078607,1810010H24Rik,106918967,106919466,NA,NA,106918407,106918906
1810013L24Rik_1,chr16,ENSMUSG00000022507,Hapstr1,8648011,8648510,NA,NA,8647451,8647950
1810019D21Rik_2,chr8,ENSMUSG00000086390,1810019D21Rik,106862058,106862557,ENSMUSG00000084128,Esrp2,106861498,106861997
1810022K09Rik_1,chr3,NA,NA,14676377,14676876,ENSMUSG00000078784,Rbis,14675817,14676316
1810030O07Rik_1,chrX,NA,NA,12539863,12540362,ENSMUSG00000044148,1810030O07Rik,12539303,12539802
1810032O08Rik_1,chr11,ENSMUSG00000020812,Snhg16,116562506,116563005,NA,NA,116561946,116562445
1810043G02Rik_2,chr10,ENSMUSG00000020284,Cfap410,77817434,77817933,NA,NA,77816874,77817373
1810055G02Rik_1,chr19,ENSMUSG00000035372,1810055G02Rik,3758354,3758853,ENSMUSG00000118249,Gm36608,3757794,3758293
2010010A06Rik_1,chr18,NA,NA,75430410,75430909,ENSMUSG00000121833,2010010A06Rik,75429850,75430349
2200002D01Rik_1,chr7,NA,NA,28947868,28948367,ENSMUSG00000030587,2200002D01Rik,28947308,28947807
2210408F21Rik_1,chr6,ENSMUSG00000087380,2210408F21Rik,31197387,31197886,ENSMUSG00000044471,Lncpint,31196827,31197326
2210417A02Rik_1,chr5,ENSMUSG00000086494,2210417A02Rik,148678706,148679205,NA,NA,148678146,148678645
2310009B15Rik_1,chr1,NA,NA,138784614,138785113,ENSMUSG00000079283,2310009B15Rik,138784054,138784553
2310030G06Rik_1,chr9,NA,NA,50657877,50658376,ENSMUSG00000032062,2310030G06Rik,50657317,50657816
2310033P09Rik_1,chr11,ENSMUSG00000020441,2310033P09Rik,59099202,59099701,NA,NA,59098642,59099141
2310040G24Rik_1,chr6,NA,NA,86465237,86465736,ENSMUSG00000101655,2310040G24Rik,86464677,86465176
2310043M15Rik_1,chr16,ENSMUSG00000022946,Dop1b,93591826,93592325,ENSMUSG00000097768,2310043M15Rik,93591266,93591765
2410002F23Rik_1,chr7,ENSMUSG00000045411,2410002F23Rik,43896222,43896721,ENSMUSG00000038782,1700028J19Rik,43895662,43896161
2410003L11Rik_1,chr11,ENSMUSG00000085860,2410003L11Rik,97489348,97489847,NA,NA,97488788,97489287
2410015M20Rik_1,chr17,ENSMUSG00000120175,Gm56912,56916752,56917251,ENSMUSG00000049760,Micos13,56916192,56916691
2410017I17Rik_1,chr17,ENSMUSG00000038311,2410017I17Rik,36455910,36456409,ENSMUSG00000073403,Gm10499,36455350,36455849
2410017I17Rik_2,chr17,ENSMUSG00000092289,Gm6659,36468795,36469294,ENSMUSG00000092366,Gm17782,36468235,36468734
2410137M14Rik_1,chr17,NA,NA,37292169,37292668,ENSMUSG00000064308,2410137M14Rik,37291609,37292108
2410141K09Rik_1,chr13,ENSMUSG00000114616,Gm26754,66589240,66589739,ENSMUSG00000074832,Zfp998,66588680,66589179
2510002D24Rik_1,chr16,ENSMUSG00000071632,2510002D24Rik,18655342,18655841,NA,NA,18654782,18655281
2610005L07Rik-1_1,chr8,ENSMUSG00000121345,2610005L07Rik,20016498,20016997,NA,NA,20015938,20016437
2610037D02Rik_1,chr15,NA,NA,96095950,96096449,ENSMUSG00000097536,2610037D02Rik,96095390,96095889
2610044O15Rik8_1,chr8,NA,NA,129960544,129961043,ENSMUSG00000071302,Zfp1006,129959984,129960483
2610524H06Rik_1,chr5,NA,NA,114961560,114962059,ENSMUSG00000072694,1500011B03Rik,114961000,114961499
2700038G22Rik_1,chr5,ENSMUSG00000097180,2700038G22Rik,24055609,24056108,NA,NA,24055049,24055548
2700062C07Rik_1,chr18,ENSMUSG00000024273,2700062C07Rik,24603919,24604418,NA,NA,24603359,24603858
2810408A11Rik_1,chr11,ENSMUSG00000047284,Neurl4,69791790,69792289,ENSMUSG00000018570,2810408A11Rik,69791230,69791729
2810408I11Rik_1,chr1,ENSMUSG00000070871,Ccnyl1,64729837,64730336,ENSMUSG00000087213,2810408I11Rik,64729277,64729776
2810410L24Rik_1,chr11,NA,NA,120080771,120081270,ENSMUSG00000075389,Reno1,120080211,120080710
2900041M22Rik_1,chr11,ENSMUSG00000054418,2900041M22Rik,117502182,117502681,NA,NA,117501622,117502121
2900052L18Rik_1,chr11,NA,NA,120122410,120122909,ENSMUSG00000043993,2900052L18Rik,120121850,120122349
2900060B14Rik_1,chr1,ENSMUSG00000064302,Clasp1,118387046,118387545,ENSMUSG00000107722,2900060B14Rik,118386486,118386985
2900076A07Rik_1,chr7,ENSMUSG00000097277,2900076A07Rik,81173356,81173855,NA,NA,81172796,81173295
