"ensembl_gene_id","baseMean","gene_length","gene_biotype"
"ENSMUSG00000025900",8.91666666666667,118396,"protein_coding"
"ENSMUSG00000025902",65.6666666666667,6427,"protein_coding"
"ENSMUSG00000033845",4283.16666666667,12527,"protein_coding"
"ENSMUSG00000025903",8224.33333333333,38843,"protein_coding"
"ENSMUSG00000033813",7779.5,40216,"protein_coding"
"ENSMUSG00000002459",1177.58333333333,160710,"protein_coding"
"ENSMUSG00000002459",1080.33333333333,109159,"protein_coding"
"ENSMUSG00000033793",9412.16666666667,79377,"protein_coding"
"ENSMUSG00000025905",47.1666666666667,17641,"protein_coding"
"ENSMUSG00000033774",2,3692,"protein_coding"
"ENSMUSG00000025907",7743.5,61443,"protein_coding"
"ENSMUSG00000087247",52.25,35401,"protein_coding"
"ENSMUSG00000033740",73.6666666666667,373710,"protein_coding"
"ENSMUSG00000033740",8.41666666666667,130890,"protein_coding"
"ENSMUSG00000051285",18183,84709,"protein_coding"
"ENSMUSG00000025909",1026.66666666667,940139,"protein_coding"
"ENSMUSG00000025911",436.583333333333,29923,"protein_coding"
"ENSMUSG00000079671",20.75,70260,"lncRNA"
"ENSMUSG00000067879",0.583333333333333,25876,"protein_coding"
"ENSMUSG00000025912",5129.75,32799,"protein_coding"
"ENSMUSG00000045210",5159.83333333333,29761,"protein_coding"
"ENSMUSG00000097893",137.666666666667,23609,"lncRNA"
"ENSMUSG00000025915",1317.16666666667,104439,"protein_coding"
"ENSMUSG00000025915",1023.41666666667,54288,"protein_coding"
"ENSMUSG00000046101",257.333333333333,32317,"protein_coding"
"ENSMUSG00000099032",185.666666666667,7323,"protein_coding"
"ENSMUSG00000056763",11555.5,98551,"protein_coding"
"ENSMUSG00000067851",13198.9166666667,95164,"protein_coding"
"ENSMUSG00000042501",53.5833333333333,395227,"protein_coding"
"ENSMUSG00000048960",13849.5833333333,310218,"protein_coding"
"ENSMUSG00000057715",3183.83333333333,187717,"protein_coding"
"ENSMUSG00000016918",5878.75,167943,"protein_coding"
"ENSMUSG00000016918",5238.91666666667,141828,"protein_coding"
"ENSMUSG00000025938",756.416666666667,124586,"protein_coding"
"ENSMUSG00000042414",877.583333333333,13736,"protein_coding"
