"biotype_bin","length_bin","expression_bin","ensembl_gene_id","baseMean","gene_length","gene_biotype"
"TEC",1,"1","ENSMUSG00000103995",0.5,2311,"TEC"
"TEC",1,"1","ENSMUSG00000108452",9.16666666666667,1402,"TEC"
"TEC",1,"1","ENSMUSG00000031802",7.08333333333333,1380,"TEC"
"TEC",1,"1","ENSMUSG00000107456",9.08333333333333,3835,"TEC"
"lncRNA",1,"1","ENSMUSG00000101912",1,1016,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000122227",6.08333333333333,1685,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000116615",0,2657,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000115946",1.66666666666667,3053,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000085551",5.41666666666667,391,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000116504",0.166666666666667,2233,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000108383",0,4317,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000110754",0.75,2608,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000110340",0,3657,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000097326",5.58333333333333,1467,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000086095",0.166666666666667,6377,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000089707",0.0833333333333333,6450,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000089730",0.916666666666667,2715,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000089957",0,6488,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000087252",1.83333333333333,2118,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000100121",0.666666666666667,3708,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000091686",1.33333333333333,4941,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000101701",0.833333333333333,5275,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000106002",0,4969,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000104870",0.166666666666667,4760,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000097471",0.75,3858,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000108470",8.08333333333333,1816,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000085808",0.166666666666667,3740,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000066938",7.66666666666667,1686,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000074274",6,4174,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000111354",0.583333333333333,2375,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000100593",0.666666666666667,3475,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000090254",0.333333333333333,6377,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000086451",1.08333333333333,4785,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000085619",0.0833333333333333,1609,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000100155",5.91666666666667,1773,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000074912",2.83333333333333,4999,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000099784",0,2175,"lncRNA"
"lncRNA",1,"1","ENSMUSG00000093738",0.5,3867,"lncRNA"
"lncRNA",1,"2","ENSMUSG00000085918",18.4166666666667,6519,"lncRNA"
"lncRNA",1,"3","ENSMUSG00000110424",320.5,5003,"lncRNA"
"lncRNA",1,"4","ENSMUSG00000085438",1784.66666666667,6449,"lncRNA"
"lncRNA",1,"4","ENSMUSG00000086841",4900.16666666667,1930,"lncRNA"
"lncRNA",1,"4","ENSMUSG00000118406",2576.33333333333,397,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000109722",0.166666666666667,7927,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000115518",0.583333333333333,7241,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000101429",0.5,14352,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000109414",6,9887,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000097456",2.33333333333333,6986,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000086010",7.66666666666667,10301,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000087507",1.33333333333333,10466,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000101968",4.33333333333333,9473,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000112398",0.25,15312,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000115422",0.25,10011,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000085171",0,7945,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000115667",1.58333333333333,11359,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000086555",7.41666666666667,9169,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000085641",0,11746,"lncRNA"
"lncRNA",2,"1","ENSMUSG00000101360",1.58333333333333,7879,"lncRNA"
